,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,operatingCashFlowPerShare,cashPerShare,Operating Cash Flow per Share,Cash per Share,Shareholders Equity per Share,Income Quality,Tangible Asset Value,Net Current Asset Value,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2019 PRICE VAR [%]
TNET,3503000000.0,0.0696,664000000.0,324000000.0,413000000.0,251000000.0,241000000.0,192000000.0,192000000.0,2.72,2.65,70444420.0,70385639.0,0.1896,0.0751,309000000.0,263000000.0,192000000.0,0.0688,0.0548,1170000000.0,1224000000.0,1646000000.0,79000000.0,2435000000.0,1425000000.0,2060000000.0,-266000000.0,375000000.0,107000000.0,1339000000.0,46000000.0,-104000000.0,-43000000.0,-200000000.0,-85000000.0,-389000000.0,-147000000.0,1.4386036960986,1.155,1.08,0.82105263157895,-1.4776,16.6227,-1.4776,16.6227,5.3278,-0.5417,2125000000.0,-414000000.0,-0.6109,0.1141,0.1955,0.1567,0.0787,0.0584,0.0643,0.0128,-1.1716,-0.0609,0.0764,Industrials,1,38.14055940143695
LZB,1583947000.0,0.042,622747000.0,493378000.0,495028000.0,127719000.0,128161000.0,80866000.0,80866000.0,1.69,1.67,46993564.0,47621000.0,0.3932,0.0813,160466000.0,128699000.0,81595000.0,0.0809,0.0511,136871000.0,136871000.0,518218000.0,180882000.0,892967000.0,181347000.0,267751000.0,291644000.0,612181000.0,42451000.0,118721000.0,31767000.0,115750000.0,-36337000.0,-55224000.0,-76255000.0,-13988000.0,79413000.0,1.7738023913538,2.858,1.6042504149503,0.75474642536132,2.4307,2.8742,2.4307,2.8742,12.8553,1.4314,799523000.0,250467000.0,-0.763,0.0221,-0.0157,-0.0238,-0.0588,-0.0343,-0.0347,-0.027000000000000003,-0.2179,0.0046,0.0366,Consumer Cyclical,1,16.42154983436406
FTSI,1543300000.0,0.0527,510100000.0,87900000.0,191700000.0,318400000.0,683600000.0,681600000.0,681600000.0,6.54,6.54,109274564.0,104200000.0,0.3305,0.4749,817600000.0,732900000.0,258400000.0,0.4429,0.4417,177800000.0,177800000.0,409700000.0,275300000.0,743700000.0,132400000.0,636800000.0,-1842900320.0000002,106900000.0,7000000.0,45600000.0,84700000.0,384800000.0,-98600000.0,-98600000.0,-325600000.0,-39400000.0,286200000.0,2.0751647169558,3.094,2.5385196374622003,1.3429003021147998,3.6929,1.7063,3.6929,1.7063,1.0259,0.5646,714200000.0,-227100000.0,-0.9463,0.1179,4.492106,0.0934,7.156111,6.346638000000011,6.252855999999998,1.0116,1.1378,-0.1051,0.0852,Energy,0,-86.5110252048328
EEFT,2536629000.0,0.1262,1048223000.0,577239000.0,690309000.0,357914000.0,295636000.0,232851000.0,232851000.0,4.52,4.26,51560331.0,51487557.0,0.4132,0.1314,439230000.0,333209000.0,232131000.0,0.1165,0.0918,1130952000.0,1130952000.0,2087587000.0,291869000.0,3321155000.0,1378394000.0,2088313000.0,669805000.0,1232673000.0,263019000.0,811464000.0,106021000.0,397233000.0,-112484000.0,-132283000.0,2024000.0,230434000.0,284749000.0,0.76377916718732,1.515,1.3236911942449,0.82048528940201,7.7151,21.9655,7.7151,21.9655,23.9412,1.706,2502473000.0,-726000.0,-2.1847,0.1697,0.1537,0.3456,0.4846,0.5117,0.4947,-0.0089,0.3876,0.0577,0.152,Industrials,1,55.13982015181864
COL,8665000000.0,0.12137404718693284,2283000000.0,817000000.0,817000000.0,1466000000.0,1112000000.0,1032000000.0,1032000000.0,6.29,6.22,164000000.0,166000000.0,0.26347374495095,0.15856895556838,1964000000.0,1374000000.0,1032000000.0,0.12833237160992,0.11909982688979,738000000.0,403034719.3253951,13248000000.0,1429000000.0,19026000000.0,4686000000.0,11919000000.0,4654000000.0,7107000000.0,1377000000.0,1440000000.0,590000000.0,-109545969.99999999,-257000000.0,-256000000.0,610000000.0,35000000.0,-357533140.0,0.9100191407067884,2.0503044888897537,1.5837800102046318,0.6683551001014313,4.398355039145899,4.956392918149431,4.398355039145899,4.956392918149431,20.04628174733095,1.110692371428571,3878225836.870608,-2012314588.547171,-2.507966341637011,0.12432126203208554,0.253327486631016,0.11301344028520409,0.19655718693284935,0.19861335636363672,0.18901973090909083,0.06560227706422019,0.26664155793226385,0.0943650623885918,0.10321689473684209,Industrials,0,-8.555981197085714
BXS,728482000.0,0.0025,849759000.0,383351000.0,564289000.0,278161000.0,196444000.0,132728000.0,209469000.0,2.12,2.11,100000000.0,93652099.0,1.0,0.2697,225709000.0,0.0,132728000.0,0.2697,0.1822,332436000.0,332436000.0,544196000.0,361859000.0,18002000000.0,15595602000.0,15795803000.0,1552000000.0,2205737000.0,202484000.0,1522486000.0,29265000.0,223371000.0,-39538000.0,313054999.9999998,-689245000.0,111713000.0,120446000.0,0.040466725919342,0.034894196453589994,0.027727184986305997,0.021316009474979,1.5322,2.3808,1.5322,2.3808,18.4073,1.0664,1459121000.0,-15251607000.0,-0.2461,0.1498,0.0,0.1974,0.3641,0.2619,0.2635,0.0804,0.2352,0.2156,0.0098,Financial Services,1,20.891552743379254
CVGI,897737000.0,0.1887,128852000.0,60679000.0,61979000.0,66873000.0,53508000.0,44512000.0,44512000.0,1.47,1.46,30895366.0,30277000.0,0.1435,0.076,83602000.0,68184000.0,44512000.0,0.0596,0.0496,70913000.0,70913000.0,314724000.0,65099000.0,418130000.0,132716000.0,303092000.0,-70571000.0,115038000.0,16828000.0,36969000.0,15418000.0,40992000.0,-14101000.0,-14101000.0,-5835000.0,18669000.0,26891000.0,2.1470284361323,2.371,1.5486979716085,0.5343214081195901,1.3539,2.3421,1.3539,2.3421,3.7995,0.9209,397754000.0,11632000.0,-0.4657,0.4049,1.0792,1.1676,7.156111,6.346638000000011,6.252855999999998,0.0215,4.596855000000002,0.0878,0.019,Consumer Cyclical,1,9.671847089275607
TRI,5501000000.0,0.0385,5501000000.0,4131000000.0,4721000000.0,780000000.0,4090000000.0,3743699999.999985,3814549441.624353,5.91,5.91,644000188.0,644000188.0,1.0,0.6686149999999997,4460000000.0,4350000000.0,3821023422.167106,0.5995579999999999,0.5108659999999998,2706000000.0,2782000000.0,4529000000.0,473000000.0,17047000000.0,2462000000.0,7821000000.0,4755000000.0,9226000000.0,434000000.0,815000000.0,110000000.0,2062000000.0,-549000000.0,313054999.9999998,-3570100000.0000005,933075000.0000002,1513000000.0,0.32269607555582003,1.84,1.6632818846466002,1.0991064175467,3.2019,4.2019,3.2019,4.2019,14.3261,0.5222,7739000000.0,-3292000000.0,-0.8525,0.0385,1.6885,-0.2456,1.8308,2.0464,2.0464,-0.0722,0.0163,-0.3562,0.1147,Industrials,1,53.98095459362938
GMS,2511469000.0,0.0829,818576000.0,633877000.0,699407000.0,119169000.0,83854000.0,62971000.0,62971000.0,1.54,1.49,41040800.0,41015000.0,0.3259,0.0459,180779000.0,115249000.0,62971000.0,0.0334,0.0251,36437000.0,36437000.0,633836000.0,163582000.0,1454511000.0,233921000.0,875060000.0,89592000.0,579451000.0,11726000.0,101469000.0,65530000.0,91263000.0,-23741000.0,-49209000.0,-20178000.0,21876000.0,67522000.0,1.7266758381338998,2.71,1.636821833012,0.15576626296912,2.2251,0.8884,2.2251,0.8884,14.1278,1.4493,804184000.0,-241224000.0,-0.5788,0.0791,0.1422,0.1431,0.2881,0.2727,0.2521,0.0266,0.3438,0.044,0.0834,Basic Materials,1,72.59401305251342
PBI,3522380000.0,0.1278,1629431000.0,1123116000.0,1306170000.0,323261000.0,236048000.0,223665000.0,223665000.0,1.2,1.19,187621135.0,187621135.0,0.4626,0.0985,550241000.0,346948000.0,223665000.0,0.067,0.0635,867262000.0,926653000.0,2697517000.0,597283000.0,5938419000.0,1889814000.0,5836577000.0,5279682000.0,101842000.0,47644000.0,306944000.0,203293000.0,392262000.0,-191444000.0,259744000.0,-766419000.0,-139794000.0,200818000.0,0.5931511400593299,1.4269999999999998,1.3692321043235,0.45891394602855,2.0907,4.6224,2.0907,4.6224,0.5428,1.7538,4392868000.0,-3139060000.0,-1.0204,-0.0361,-0.0758,-0.0362,-0.1442,-0.1429,-0.1439,0.0053,-0.2089,-0.112,-0.0408,Industrials,0,-31.438519222067214
XON,160574000.0,-0.3048,97287000.0,137807000.0,602897000.0,-179996704.444436,-226262560.0,-221511580.0,-222508520.0,-3.93,-3.93,137221526.0,129521731.0,0.6059,-3.2529,-122512180.0,-168192723.08,-221183420.0,-3.306,-3.172,109755000.0,229827000.0,285483000.0,128874000.0,716177000.0,61562000.0,337455000.0,-1330545000.0,362855000.0,13014000.0,46861000.0,33112000.0,-109545969.99999999,-41587000.0,-151213000.0,309795000.0,34637000.0,-165827000.0,0.224209936929,4.637,4.077547837952,1.7828368149182998,-0.9592,0.8474,-0.9592,0.8474,2.8015,0.2439,437301000.0,-51972000.0,-0.3211,-0.4216,-3.3788,-2.6668,-3.3526,-3.0102,-3.0102,0.0794,-0.1978,-0.1543,-0.0568,Healthcare,0,-23.356644112158236
JEC,14984646000.0,0.4951,2828370000.0,2180399000.0,2180399000.0,647971000.0,544994000.0,163431000.0,163431000.0,1.18,1.17,141904099.0,141904099.0,0.1888,0.0415,820341000.0,621754000.0,173142000.0,0.0364,0.0109,634870000.0,634870000.0,4556584000.0,257859000.0,12645795000.0,3145693000.0,6701441000.0,3809991000.0,5854345000.0,1407780000.0,2366332000.0,198587000.0,481152000.0,-91591000.0,-1577607000.0,1142420000.0,19207000.0,389561000.0,1.1849508868363,1.449,1.0009889712695998,0.2018219832641,3.3907,4.4739,3.3907,4.4739,41.2556,2.9441,7276987000.0,-2144857000.0,-0.6454,0.5959,0.5106,0.6519,-0.4436,-0.5144,-0.5165,0.1488,-0.163,0.7133,0.58,Industrials,1,55.28377019515002
RJF,7274318000.0,0.1418,7181930000.0,5544667000.0,5877053000.0,1304877000.0,1310655000.0,856695000.0,856695000.0,5.89,5.75,145888459.0,145271000.0,0.9873,0.1802,1409390000.0,1310655000.0,850917000.0,0.1802,0.1178,5799200000.000004,6643000000.0,22935184711.98408,486000000.0,37413000000.0,8325417000.0,30961000000.0,5032000000.0,6368000000.0,3997989999.999998,2030195000.0,98735000.0,1903327000.0,-133586000.0,-3475914000.0,1420182000.0,-169366000.0,1769741000.0,0.19443289765589006,3.9417274834402,1.3014363124394,0.71359788945106,13.1019,40.896,13.1019,40.896,43.8353,2.2217,36774000000.0,764520400.0000002,-0.9196,0.1414,0.4164,0.3401,0.3465,0.3296,0.3279,0.0149,0.4574,0.0725,0.135,Financial Services,1,22.845407276015397
WWD,2325873000.0,0.1083,606198000.0,192757000.0,356524000.0,249674000.0,219578000.0,180378000.0,180378000.0,2.93,2.82,61692493.0,61493000.0,0.2606,0.1081,367479000.0,251348000.0,180378000.0,0.0944,0.0776,83594000.0,83594000.0,1114797000.0,1060005000.0,3790649000.0,591178000.0,2252545000.0,1966643000.0,1538104000.0,49604000.0,211258000.0,116131000.0,299292000.0,-127140000.0,-896567000.0,605998000.0,-3958000.0,172152000.0,0.61358173758636,1.886,0.87215187303993,0.14140242025245,4.8671,1.3594,4.8671,1.3594,25.0127,1.6592,2276516000.0,-1137748000.0,-2.0676,0.0588,-0.1029,-0.1033,-0.1004,-0.104,-0.1076,0.0057,-0.0268,0.3749,0.0913,Industrials,1,61.221046159981384
SNY,33676258073.006508,-0.0592,15970500000.0,6756044999.99999,10918299999.999996,3844827586.2069,4472900000.000006,3743699999.999985,3814549441.624353,1.9828,1.9713,1248940072.2799969,1250737344.2399998,0.6682,0.1515,7233379999.999997,5175667817.2588825,3821023422.167106,0.1389,0.1249,5799200000.000004,7959770114.9425,22935184711.98408,11093103448.2759,109241000000.0,19972413793.1034,60198850574.7126,4124000000.0,24718950000.000004,3288149425.2874,11151724137.931002,2067260000.0000002,6375862068.9655,0.0,-4963626553.036363,1498669999.9999878,-821100000.0,4533185999.999979,0.30934044233807,1.6264,0.816355893186,0.39853821362799,1.9348,2.4155,1.9348,2.4155,20.5361,1.2882,52050574712.6437,-31947126436.7816,0.0,-0.0601,-0.5264,-0.3347,-0.5101,-0.507,-0.5054,-0.0513,-0.2802,0.0687,-0.0628,Healthcare,1,22.01337196704545
TTC,2618650000.0,0.0453,941011000.0,567926000.0,567926000.0,373085000.0,372397000.0,271939000.0,271939000.0,2.56,2.5,105530994.0,106369000.0,0.3593,0.1495,452770000.0,391493000.0,271939000.0,0.1422,0.1038,289124000.0,289124000.0,894637000.0,271459000.0,1570984000.0,532635000.0,902068000.0,587252000.0,668916000.0,54076000.0,276060000.0,61277000.0,364805000.0,-90124000.0,-127925000.0,-252075000.0,-21132000.0,274681000.0,1.666885213344,1.68,0.90550189153923,0.54281825264956,3.4296,2.7181,3.4296,2.7181,6.2886,1.3415,1240045000.0,-7431000.0,-0.8473,0.0219,0.0516,0.0506,0.0158,0.0364,0.0373,-0.0233,0.0112,0.0517,0.0039,Industrials,1,46.02185243558157
BAM,33676258073.006508,0.3919,11252000000.0,104000000.0,3206000000.0,5184800000.000001,3336000000.0,3584000000.0,3584000000.0,3.47,3.4,958773120.0,958773120.0,0.1982,0.1443,7233379999.999997,5175667817.2588825,3821023422.167106,0.0588,0.0631,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,19284000000.0,69270934340.99806,14244000000.0,24718950000.000004,3670000000.0,0.0,2067260000.0000002,5159000000.0,0.0,-4963626553.036363,1498669999.9999878,933075000.0000002,4533185999.999979,0.22151856750988,1.8657954781166,1.3130574569591,0.43507571043352,5.3808,8.7508,5.3808,8.7508,31.097,1.4395,75467350920.85007,-42405411219.38778,0.0,0.3398,0.4411,0.3505,1.4514,1.5328,1.5373,0.09403537872340424,0.2881,0.3298,0.0947,Real Estate,1,54.67122856556917
SHW,17534493000.0,0.1702,7418562000.0,5222902000.0,5541014000.0,1877548000.0,1359650000.0,1108746000.0,1108746000.0,8.789599999999982,8.56,93626317.0,93626317.0,0.4231,0.0985,2322665000.0,1726384000.0,1108746000.0,0.0775,0.0632,155505000.0,155505000.0,4344487000.0,1776839000.0,19134279000.0,4297747000.0,15403534000.0,6246548000.0,3730745000.0,354939000.0,1862729000.0,596281000.0,1943700000.0,-250957000.0,-251640000.0,-1746653000.0,-48708000.0,1692743000.0,0.91639162364048,1.011,0.50590995700771,0.036182911651151,20.7602,1.6609,20.7602,1.6609,39.8472,1.7531,6975998000.0,-11059047000.0,-2.6804,0.1041,0.0208,0.11,-0.3583,-0.3591,-0.3588,0.0,0.0317,-0.0385,0.0839,Basic Materials,1,50.16685565691842
AMP,12835000000.0,0.0579,10533000000.0,6756044999.99999,7130000000.0,3403000000.0,2484000000.0,2098000000.0,2098000000.0,8.789599999999982,8.56,139356365.0,139356365.0,0.8206,0.2651,3601000000.0,3403000000.0,2098000000.0,0.1935,0.1635,5799200000.000004,8050877011.494213,14766000000.0,0.0,109241000000.0,5680000000.0,69270934340.99806,12909000000.0,5588000000.0,-72020900.00000004,3394000000.0,198000000.0,2597000000.0,-162000000.0,-587000000.0,-1263000000.0,739000000.0,2435000000.0,0.093538654384328,2.5996478873239,2.6625,1.0575704225352,18.6357,43.1053,18.6357,43.1053,40.0986,1.2378,75467350920.85007,-42405411219.38778,-1.1625,0.064,0.1059,0.1059,0.4176,0.501,0.5042,-0.0573,0.7052,-0.0696,0.0386,Financial Services,1,58.51053928639828
SNR,444298000.0,-0.0108,176513000.0,28201000.0,202769000.0,-26256000.0,-153561000.0,-159355000.0,-159355000.0,-1.94,-1.94,82148869.0,82148869.0,0.3973,-0.1179,43601000.0,-52385000.0,-159355000.0,-0.3456,-0.3587,72422000.0,72422000.0,119406000.0,2161162000.0,2286258000.0,102074000.0,1963806000.0,-616504000.0,282452000.0,-5690000.0,25553000.0,95986000.0,121077000.0,-19162000.0,-19162000.0,-166744000.0,-64829000.0,101915000.0,0.1943341477646,1.1697983815663,1.2255422536591,0.7095048690165999,1.4739,0.8816,1.4739,0.8816,3.4383,-0.7598,2286258000.0,-1844400000.0,-0.2333,-0.1943,-1.4792,-1.6333,-5.416384000000001,-5.0,-5.0,-0.0072,1.0031,-0.0884,-0.159,Real Estate,1,96.81515281126465
WSO,4546653000.0,0.0471,1120252000.0,757452000.0,757452000.0,362800000.0,315745000.0,242932000.0,242932000.0,6.5,6.49,37427390.0,37427390.0,0.2464,0.07,340580000.0,318485000.0,296529000.0,0.0694,0.0534,82894000.0,82894000.0,1441806000.0,91046000.0,2161033000.0,357566000.0,559320000.0,627969000.0,1347849000.0,19875000.0,157091000.0,22095000.0,170557000.0,-16925000.0,-26311000.0,-139603000.0,2398000.0,153632000.0,2.1039257614298,4.032,1.635507850299,0.23182852955818,4.557,2.2148,4.557,2.2148,36.0124,0.7021,1621184000.0,764520400.0000002,-0.4522,0.0512,0.0449,0.0366,0.1667,0.1188,0.117,0.0303,-0.4436,0.0558,0.0584,Technology,1,34.94312158472053
ATO,3115546000.0,0.1289,1947698000.0,263886000.0,1219764000.0,727934000.0,611144000.0,603064000.0,603064000.0,5.43,5.43,111200632.0,111012000.0,0.6252,0.2304,1078873000.0,717790000.0,603064000.0,0.1962,0.1936,13771000.0,13771000.0,478853000.0,10371147000.0,11874437000.0,1915131000.0,7104486000.0,1878116000.0,4769951000.0,46055000.0,547068000.0,361083000.0,1124662000.0,-1467591000.0,-1463566000.0,326266000.0,-12638000.0,-342929000.0,0.26237420772033,0.25,0.13945051278476994,0.013486843366270998,10.131,0.124,10.131,0.124,42.9679,1.8649,11144018000.0,-6625633000.0,-13.2201,0.0619,-0.0274,-0.0105,0.5213,0.4558,0.4558,0.0463,0.2971,0.1046,0.0977,Utilities,1,27.07122246079237
SNH,1117164000.0,0.0395,665583000.0,85885000.0,176744000.0,488839000.0,287348000.0,286872000.0,286872000.0,1.21,1.21,237730650.0,237511000.0,0.5958,0.4177,752870000.0,466635000.0,292414000.0,0.2572,0.2568,70071000.0,70071000.0,90700000.0,6343836000.0,7160426000.0,27140000.0,3980556000.0,-1590418000.0,3023112000.0,20629000.0,27140000.0,286235000.0,392840000.0,0.0,99091000.0,-469181000.0,22750000.0,491931000.0,0.15601920891298998,3.3419307295505,2.5818349299926,2.5818349299926,1.654,0.295,1.654,0.295,12.7283,1.3694,6741182000.0,-3889856000.0,0.0,0.0066,0.4905,0.5217,0.9434,0.9516,0.9516,0.0004,-0.0631,-0.0183,-0.1717,Real Estate,0,-18.526804968862905
HOLI,540768000.0,0.2519,205880000.0,73481000.0,85636000.0,120244000.0,129366000.0,107161000.0,107161000.0,1.77,1.75,60342099.0,60434019.0,0.3807,0.2405,139346000.0,130058000.0,107437000.0,0.2392,0.1982,285908000.0,425341000.0,1000898000.0,80210000.0,1210128000.0,333054000.0,367775000.0,578079000.0,842052000.0,7527000.0,194705000.0,9288000.0,105719000.0,-1928000.0,-49748000.0,-12197000.0,49613000.0,103791000.0,0.44686843044703,3.005,2.8085505653738,0.85844337554871,1.7493,4.7309,1.7493,4.7309,13.9334,0.9865,1158583000.0,633123000.0,-0.0319,0.4656,0.5434,0.9951,0.5543,0.5391,0.5351,0.0039,0.282,0.1435,0.0695,Industrials,0,-7.238720537050643
CBAY,0.0,-0.40964999999999996,0.0,14381000.0,72505000.0,-72505000.0,-72548000.0,-72548000.0,-72548000.0,-1.25,-1.26,59439130.0,57808254.0,0.0,0.0,-72107000.0,-72212000.0,-72548000.0,0.0,0.0,48995000.0,178664000.0,181562000.0,2905000.0,186747000.0,14415000.0,16329000.0,-523064000.0,170418000.0,2898000.0,12442000.0,105000.0,-54936000.0,-529000.0,-54111000.0,134988000.0,25941000.0,-55465000.0,0.0,12.595,12.35711234808195,3.3988900450919,-0.9503,0.8475,-0.9503,0.8475,2.948,0.7572,186747000.0,165233000.0,-0.0092,-0.6139840000000001,-1.7273,-2.4,-1.6327,-0.5823,-0.5949,0.6571,-1.7983,0.7914,0.161,Healthcare,0,-76.27118663636769
STAG,350993000.0,0.1658,281972000.0,34052000.0,209128000.0,72844000.0,92926000.0,92926000.0,82385000.0,0.8,0.79,108893286.0,103401000.0,0.8034,0.4038,309360000.0,141743000.0,96245000.0,0.2648,0.2648,22542000.0,22542000.0,102731000.0,2991701000.0,3102532000.0,59261000.0,1432900000.0,-584979000.0,1613803000.0,37953000.0,13754000.0,167617000.0,197769000.0,-391446000.0,-507201000.0,303845000.0,-5587000.0,-193677000.0,0.11313114578673,1.7335347024181005,1.0930966402862,0.38038507618839,1.9126,0.218,1.9126,0.218,15.6072,2.4005,3102532000.0,-1330169000.0,-3.7857,0.1585,0.9225,0.4445,2.8988,2.3333,2.4348,0.1534,0.2201,0.1574,0.0211,Real Estate,1,36.76875078550981
WAB,4363547000.0,0.1241,1233885000.0,633244000.0,760448000.0,473437000.0,370823000.0,294944000.0,294944000.0,3.06,3.05,96614946.0,95994000.0,0.2828,0.1107,592355000.0,483058000.0,291703000.0,0.085,0.0676,2342300000.0,2342300000.0,4449600000.0,563800000.0,8649200000.0,1646600000.0,5780100000.0,3022000000.0,2865200000.0,115600000.0,993100000.0,109297000.0,314671000.0,-82012000.0,-147287000.0,1498669999.9999878,933075000.0000002,232659000.0,0.50450295981131,2.702,2.1189724280335,1.4225069840884,3.278,24.4005,3.278,24.4005,29.8477,1.0669,5122800000.0,-1330500000.0,-0.8543,0.1582,0.1236,0.1243,0.1246,0.1168,0.1213,0.0035,0.6666,0.3145,0.2355,Industrials,1,10.503377930277576
FSCT,297651000.0,0.3264,229769000.0,241601000.0,303314000.0,-73545000.0,-71891000.0,-74836000.0,-74836000.0,-1.83,-1.83,42862220.0,40980000.0,0.7719,-0.2385,-62975000.0,-70978000.0,-74836000.0,-0.2415,-0.2514,66895000.0,114527000.0,221179000.0,24349000.0,388478000.0,168556000.0,260757000.0,-511257000.0,127721000.0,25896000.0,149107000.0,8003000.0,13489000.0,-7628000.0,-36950000.0,25123000.0,1655000.0,5861000.0,0.76619782844846,1.3119999999999998,1.1496594603574,0.39687106955552,0.3292,1.6324,0.3292,1.6324,3.1167,-0.1802,276994000.0,-39578000.0,-0.1861,0.3859,0.086,0.0479,0.1999,0.7768,0.7768,1.221537,4.596855000000002,0.1818,0.2352,Technology,1,29.33753331091046
AVEO,5409000.0,-0.2863,5409000.0,10781000.0,30766000.0,-25357000.0,-5329000.0,-5329000.0,-5329000.0,-0.04,-0.19,125346598.0,120592000.0,1.0,-0.5801,-3138000.0,-3138000.0,-5329000.0,-0.9852,-0.9852,24427000.0,24427000.0,27935000.0,0.0,27935000.0,18117000.0,55162000.0,-595009000.0,-27227000.0,482000.0,11364000.0,0.0,-25026000.0,0.0,18579000.0,15925000.0,9478000.0,-25026000.0,0.19362806515124,1.5419999999999998,1.515317105481,1.3482916597671002,-0.2075,0.2026,-0.2075,0.2026,-0.2258,4.6962,27935000.0,-27227000.0,0.0,-0.2863,0.9498,0.1199,0.918,0.9344,0.6885,0.2341,-0.3059,-0.37505,0.1798,Healthcare,0,-66.12021911318323
PFGC,17619900000.0,0.0512,2292800000.0,2039300000.0,2099200000.0,193600000.0,193600000.0,198700000.0,198700000.0,1.95,1.9,104247423.0,102000000.0,0.1301,0.0144,384100000.0,254000000.0,198700000.0,0.011,0.0113,17800000.0,17800000.0,2203500000.0,795500000.0,4000900000.0,1470000000.0,2865600000.0,264800000.0,1135300000.0,68200000.0,227800000.0,130100000.0,367000000.0,-138300000.0,-209400000.0,-160800000.0,-3200000.0,228700000.0,2.3540755773219577,1.499,0.73700680272109,0.013486843366270998,3.5980000000000003,0.1745,3.5980000000000003,0.1745,11.1304,1.847,3066600000.0,-662100000.0,-1.3559,0.0791,0.1947,0.2276,1.0633,1.0313,1.043,0.0155,0.8195,0.0517,0.0656,Consumer Defensive,1,62.705437848645715
MUSA,14362900000.0,0.1198,548000000.0,136200000.0,222900000.0,325100000.0,273900000.0,213600000.0,213600000.0,6.54,6.54,32241009.0,32674000.0,0.0382,0.0228,460800000.0,326800000.0,213600000.0,0.0191,0.0149,184500000.0,184500000.0,570100000.0,1748200000.0,2360800000.0,478100000.0,1553500000.0,1208100000.0,807300000.0,25300000.0,0.0,134000000.0,398700000.0,-204300000.0,-209100000.0,-175100000.0,14500000.0,194400000.0,2.3540755773219577,1.192,0.67621836435892,0.38590253085129,12.2024,5.6467,12.2024,5.6467,24.7077,1.8666,2360800000.0,-983400000.0,-6.2527,0.0016,0.1395,0.1475,-0.1292,-0.0453,-0.0453,-0.07391600000000001,0.4059,0.0128,-0.0354,Consumer Cyclical,1,53.44262295081968
RCM,868500000.0,0.9309,97900000.0,97900000.0,128300000.0,-30400000.0,-56700000.0,-45300000.0,-45300000.0,-0.6,-0.6,110236172.0,108175159.0,0.1127,-0.035,8400000.0,-30400000.0,-45300000.0,-0.0653,-0.0522,64600000.0,64600000.0,196800000.0,95200000.0,807500000.0,196200000.0,592800000.0,-289800000.0,6300000.0,34800000.0,183600000.0,38800000.0,18300000.0,-33500000.0,-496300000.0,377400000.0,-101300000.0,-15200000.0,1.0755417956656,1.003,0.8256880733945,0.32925586136595,0.1692,0.5972,0.1692,0.5972,0.0582,-0.404,372200000.0,-396000000.0,-0.3097,1.631772,-0.1055,-0.1055,0.2296,0.2,0.2,0.0599,-0.1244,1.23495,0.7389,Technology,1,64.51203753971603
DK,10233100000.0,0.4081,972800000.0,247600000.0,360900000.0,611900000.0,442000000.0,340100000.0,340100000.0,4.11,3.95,81948413.0,82797110.0,0.0951,0.0555,767300000.0,567900000.0,374900000.0,0.0432,0.0332,1079300000.0,1079300000.0,2420300000.0,2194900000.0,5760600000.0,1663500000.0,3952500000.0,981800000.0,1632600000.0,135700000.0,620300000.0,199400000.0,560300000.0,-310900000.0,-125300000.0,-297600000.0,137400000.0,249400000.0,1.776394819984,1.455,0.9580402765254,0.64881274421401,6.7671,13.0355,6.7671,13.0355,19.7181,1.6475,4798400000.0,-1532200000.0,-3.755,1.2534,0.607,2.3938,0.1776,0.0173,-0.0125,0.2001,0.7526,-0.0294,0.4076,Energy,1,4.608358111755684
CM,13613740458.0153,0.0779,13613740458.0153,6076335877.8626,7830534351.145,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,8.789599999999982,8.56,335366193.1298,335366193.1298,1.0,0.3751,5106106870.229,5106106870.229,3821023422.167106,0.3751,0.2953,5799200000.000004,8050877011.494213,22935184711.98408,1370229007.6336,109241000000.0,27167699999.999996,69270934340.99806,14150381679.3893,24718950000.000004,3997989999.999998,15393603099.999842,0.0,6379931724.1378975,-194656488.5496,-4963626553.036363,-758015267.1756,717557251.9084,4533185999.999979,0.029867743874969,0.31325703606745003,0.14380473133476998,0.034222010966568,29.42,52.7484,29.42,52.7484,104.1879,1.9056,75467350920.85007,-42405411219.38778,-0.7603,0.0779,0.123,0.1111,0.0964,0.0215,0.0199,0.0459,2.9515,0.0394,0.0672,Financial Services,1,18.94638354757489
