,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,Gross Profit Growth,EBIT Growth,Operating Income Growth,EPS Growth,EPS Diluted Growth,Operating Cash Flow growth,Asset Growth,Sector,Class,2017 PRICE VAR [%]
BEAT,208332000.0,0.16699999999999998,129450000.0,84513000.0,111438000.0,18012000.0,15770000.0,53437000.0,53437000.0,1.91,1.75,28231128.0,27920000.0,0.6214,0.0845,31869000.0,17600000.0,53437000.0,0.0757,0.2565,23052000.0,23052000.0,59560000.0,25823000.0,198984000.0,31507000.0,60070000.0,-142722000.0,138914000.0,17670000.0,14269000.0,38851000.0,-10899000.0,-36181000.0,1427000.0,4066000.0,27952000.0,3.0287,1.0469786515499,1.89,1.5839972069698998,0.73164693560161,3.0287,0.0855,0.727,0.4057,-0.7638,124444000.0,-510000.0,95334000.0,0.2148,0.8664,0.8924,4.610947999999999,4.610947999999999,1.7074,0.6029,Healthcare,1,33.780756636229036
XON,190926000.0,0.0998,129287000.0,142318000.0,254453000.0,-125166000.0,-190489000.0,-186612000.0,-186612000.0,-1.58,-1.58,118575964.0,117983836.0,0.6772,-0.9932,-117687410.0,-189628000.0,-190274000.0,-0.9977,-0.9774,69594000.0,245696000.0,315181000.0,64672000.0,949068000.0,94605000.0,379820000.0,-729341000.0,560237000.0,84481000.0,24572000.0,-48988000.0,-31629000.0,-28392000.0,12065000.0,-66188000.0,-80617000.0,15.4084,0.20117209725752,3.332,2.8527879076159,0.73562708102109,15.4084,-0.0637,0.2625,0.7454,-1.2872,566278000.0,-64639000.0,410847000.0,0.1788,-1.306,0.1477,-1.0789,-1.0789,-2.336836,-0.0336,Healthcare,0,-53.567107191688535
SNY,30347000000.0,-0.0377,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,1.9263,1.9105,1165580220.4600005,1136849765.4799964,0.6835,0.2058,6406600000.000002,4323659999.999998,2757382000.000004,0.1785,0.1393,5401626436.477094,8361106999.999953,22236826315.78948,10546315789.4737,99714000000.0,17308421052.6316,49428421052.6316,3198000000.0,21868790453.800663,10928421052.6316,2001000000.0,4917771249.999992,-1972631578.9474,-2775789473.6842,-2539980000.0,827469473.684184,3564686581.890722,1.5842,0.32297786566551,1.7084,1.0693912303108,0.62476433740801,1.5842,0.047,1.7379,0.2803,-0.5677,56329473684.2105,-21332631578.9474,47764210526.3158,-0.0319,0.2143,0.1745,0.0818,0.0828,-0.1105,-0.0082,Healthcare,1,8.26425275670603
CBAY,0.0,0.0,0.0,9645000.0,25586000.0,-25586000.0,-26671000.0,-26671000.0,-26671000.0,-1.14,-1.14,23447003.0,23447003.0,0.0,0.0,-25305000.0,-25334000.0,-26671000.0,0.0,0.0,10495000.0,16994000.0,18528000.0,77000.0,19359000.0,9311000.0,15422000.0,-422959000.0,3937000.0,5712000.0,29000.0,-23353000.0,-42000.0,27128000.0,-986000.0,2789000.0,-23395000.0,0.0,0.0,1.99,1.8251530447857,1.127161421974,0.0,-0.6,0.8756,0.0,-1.4483,19359000.0,3106000.0,8351000.0,0.0,-0.7333,0.012,-0.3902,-0.3735,-0.0012,-0.390654,Healthcare,1,384.21052235315375
AVEO,2515000.0,-0.554284,2515000.0,8205000.0,31908000.0,-29393000.0,-26786000.0,-26887000.0,-26887000.0,-0.39,-0.39,75862946.0,69268000.0,1.0,-9.8755,-24807000.0,-24837000.0,-26887000.0,-10.6505,-10.6907,15096000.0,23348000.0,26315000.0,0.0,27285000.0,10349000.0,29208000.0,-521916000.0,-1923000.0,6039000.0,30000.0,-31066000.0,-7000.0,-764000.0,20292000.0,-11538000.0,-31073000.0,18.0985,0.092175187832142,2.543,2.3553000289882995,1.4586916610301,18.0985,-0.65,1.1554,3.2624,-0.2333,27285000.0,-2893000.0,15843000.0,-0.754316,-0.9534,-1.3654,-0.4444,-0.4444,-0.7041,-0.327,Healthcare,1,364.99997516473235
DNLI,0.0,0.0,0.0,11731000.0,87433000.0,-87433000.0,-86652000.0,-86652000.0,-86652000.0,-13.49,-13.46,82424000.0,6424720.0,0.0,0.0,-85183000.0,-86652000.0,-86652000.0,0.0,0.0,39853000.0,178331000.0,181955000.0,15262000.0,271067000.0,9106000.0,16548000.0,-103512000.0,-83481439.99999999,7143000.0,1469000.0,-71908000.0,-6134000.0,-219004000.0,300476000.0,9564000.0,-78042000.0,0.0,0.0,13.601818653167232,12.364713242368321,4.3765649022622,0.0,-0.6289,0.8298,0.0,-4.1756,271067000.0,165407000.0,222108000.0,0.0,-3.8430479999999996,-3.440972,-1.4176,-1.4176,-2.336836,1.529889999999997,Healthcare,0,-27.08624807909103
SPPI,146444000.0,-0.0991,110601000.0,88418000.0,173487000.0,-62886000.0,-72083000.0,-69770000.0,-69770000.0,-0.96,-0.96,80557934.0,72824070.0,0.7552,-0.4278,-36156000.0,-62648000.0,-69770000.0,-0.4922,-0.4764,158222000.0,158469000.0,216650000.0,449000.0,428768000.0,65513000.0,192742000.0,-410859000.0,236026000.0,13030000.0,26492000.0,-40459000.0,-78000.0,-679000.0,59644000.0,18481000.0,-40537000.0,2.4534,0.34154601089634,3.307,3.1139621143895,2.4151237159037,2.4534,-0.2152,0.5799,0.6038,-0.0029,246648000.0,23908000.0,119956000.0,-0.1799,-0.4515,-0.4766,-0.1852,-0.1852,-2.336836,0.0232,Healthcare,1,324.8879058488247
IDXX,1775423000.0,0.1083,975436000.0,524075000.0,625197000.0,350239000.0,321837000.0,222045000.0,222045000.0,2.47,2.44,89658209.0,89732000.0,0.5494,0.1993,432104000.0,353886000.0,222054000.0,0.1813,0.1251,154901000.0,391850000.0,845584000.0,357422000.0,1530704000.0,934568000.0,1638917000.0,540401000.0,-83481439.99999999,263511000.0,78218000.0,338943000.0,-64787000.0,-90786000.0,-222196000.0,25907000.0,274156000.0,5.9388,1.1598734961168,0.905,0.6380958902937,0.16574609873225,5.9388,0.021,1.5265,0.2952,-0.8283,1306321000.0,-793333000.0,1420962000.0,0.0957,0.1706,0.1678,0.1932,0.1902,0.5281,0.0378,Healthcare,1,32.97619635362945
ONCS,0.0,0.0,0.0,12144358.0,26886052.0,-26886052.0,-26886052.0,-26888514.0,-26888514.0,-13.523,-13.46,1763626.0,1651474.0,0.0,0.0,-26530469.0,-26886052.0,-26888514.0,0.0,0.0,28746224.0,28746224.0,29417408.0,2799930.0,32406647.0,3466251.0,4353543.0,-73494657.0,28053104.0,242924.0,355583.0,-17814253.0,-1550737.0,-1550737.0,16075950.0,-3289040.0,-19364990.0,0.0,0.0,8.487,8.2931743835054,7.8134023163787845,0.0,-0.8859,0.6625,0.0,-4.3611,32406647.0,25063865.0,194172.0,0.0,-0.2658,-0.2658,0.024,0.024,-0.0092,-0.0894,Healthcare,1,23.484844489312092
SRPT,5421000.0,1.4296120000000003,5320000.0,83749000.0,272050000.0,-211362600.0,-267265000.0,-267265000.0,-267265000.0,-5.49,-5.49,54590380.0,48697000.0,0.9814,-10.483187999999998,-117687410.0,-238508270.0,-267265000.0,-10.790260000000004,-12.064288999999999,122420000.0,328540000.0,373476000.0,37801000.0,424104000.0,75422000.0,87413000.0,-1166320000.0,336691000.0,35624000.0,5611000.0,-86932880.0,-5341000.0,-90193000.0,378129000.0,42116000.0,-251161000.0,75.1052409999999,0.012782242091562,4.952,4.4253400864469015,1.6231338336294,75.08663800000006,-0.1966,0.9198,4.420890000000003,-0.9519,416028000.0,286063000.0,234336000.0,2.305817999999998,-0.2114,-0.2114,-0.0558,-0.0558,-0.6447,0.5491,Healthcare,1,99.28366489114279
SGEN,418147000.0,0.2415,375830000.0,139247000.0,518555000.0,-142725000.0,-140111000.0,-140111000.0,-140111000.0,-1.0,-1.0,141552646.0,140746000.0,0.8988,-0.3351,-117687410.0,-140111000.0,-140111000.0,-0.3351,-0.3351,108673000.0,588986000.0,734648000.0,62870000.0,838396000.0,148516000.0,204309000.0,-1067040000.0,634087000.0,27847000.0,18034000.0,-86932880.0,-27835000.0,68193000.0,35196000.0,6418000.0,-124806000.0,17.9418,0.49874641577488,4.947,4.3827870397802,0.73172587465324,17.9418,-0.0189,0.6921,0.333,-1.5435,838396000.0,530339000.0,581207000.0,0.2554,-0.1629,-0.18,-0.0753,-0.0753,0.272,-0.0633,Healthcare,1,0.9433962264150944
TFX,1868027000.0,0.0322,996200000.0,563308000.0,676747000.0,319453000.0,245451000.0,237377000.0,237377000.0,5.48,4.98,44053239.0,43325000.0,0.5333,0.1608,354807000.0,300392000.0,237841000.0,0.1314,0.1271,543789000.0,543789000.0,1183393000.0,302899000.0,3891213000.0,427646000.0,1751872000.0,2194593000.0,2137517000.0,175175000.0,54415000.0,408480000.0,-53135000.0,-56974000.0,-118692000.0,205423000.0,355345000.0,3.7464,0.4800629006944601,2.767,1.9076105002736,1.2715867797197,3.7464,0.0345,1.7208,0.3016,-0.9765,1522830000.0,-568479000.0,1584718000.0,0.0548,-0.0434,0.0113,-0.0696,-0.0235,0.3579,0.005,Healthcare,1,57.65290333740933
QDEL,191603000.0,-0.0231,111731000.0,76787000.0,116170000.0,-4439000.0,-16199000.0,-13808000.0,-13808000.0,-0.42,-0.42,32643557.0,32708000.0,0.5831,-0.021,18778000.0,-4018000.0,-13808000.0,-0.0845,-0.0721,169508000.0,169508000.0,225394000.0,50858000.0,388250000.0,33612000.0,187620000.0,-4255000.0,200630000.0,17565000.0,22796000.0,11815000.0,-11909000.0,-16970000.0,-16799000.0,-21963000.0,-94000.0,3.5573,0.49350418544752,6.706,5.7865643222659005,5.0430798524337,3.5573,-0.0201,-0.8557,0.4008,-0.5224,276777000.0,37774000.0,217997000.0,-0.0539,-2.4675,-2.6213,-1.3333,-1.3333,-0.6796,-0.0449,Healthcare,1,107.61494356558927
INVA,133569000.0,1.4296120000000003,133569000.0,23188000.0,24581000.0,108988000.0,59631000.0,59536000.0,59536000.0,0.54,0.53,108731402.0,110280000.0,1.0,0.6216879999999997,126001000.0,112047000.0,59536000.0,0.4464,0.4457,118016000.0,150433000.0,198046000.0,368000.0,378996000.0,20049000.0,731987000.0,-1610210000.0,-83481439.99999999,12169000.0,13954000.0,60984000.0,-278000.0,-4580000.0,-97568000.0,-41164000.0,60706000.0,9.0685,0.35242852167305,9.878,9.8398922639533,5.8863783729862,9.0685,0.0485,1.0243,0.1736,-0.0199,378996000.0,-533941000.0,957024000.0,1.4758,2.3909,2.4512,4.375,4.3125,4.875884999999996,-0.0732,Healthcare,1,27.378807388356122
LCI,542493000.0,0.3334,286493000.0,68325000.0,155735000.0,130758000.0,62104000.0,44782000.0,44782000.0,1.23,1.2,36747501.0,36442782.0,0.5281,0.236,161474000.0,128041000.0,44857000.0,0.1145,0.0825,224769000.0,238863000.0,612815000.0,216638000.0,1764018000.0,306669000.0,1209561000.0,278355000.0,554049000.0,66692000.0,33433000.0,135277000.0,-24251000.0,-959067000.0,848219000.0,24429000.0,111026000.0,1.6115,0.3075325761982,1.998,1.4692877336803,0.73293681461119,1.6115,0.0517,3.0208,0.1259,-0.7254,854904000.0,-596746000.0,1385314000.0,-0.0648,-0.4373,-0.4227,-0.7057,-0.703,0.0526,1.529889999999997,Healthcare,1,3.3407571247752594
WST,1509100000.0,0.0781,501400000.0,239600000.0,306200000.0,195200000.0,198000000.0,143600000.0,143600000.0,1.96,1.91,73184116.0,73300000.0,0.3323,0.1366,296800000.0,206100000.0,143600000.0,0.1312,0.0952,203000000.0,203000000.0,641900000.0,778300000.0,1716700000.0,241000000.0,599200000.0,1071600000.0,1117500000.0,116600000.0,90700000.0,219400000.0,-170200000.0,-175800000.0,-113900000.0,-71600000.0,49200000.0,4.077,0.87907030931438,2.6630000000000003,1.6742738589212,0.8423236514522799,4.077,0.0233,1.5279,0.1588,-1.8765,1590400000.0,42700000.0,1375000000.0,0.1,0.5154,0.5179,0.4737,0.4692,0.033,0.0127,Healthcare,1,18.075365559993113
ARWR,158333.0,-0.554284,158333.0,23594888.0,87763523.0,-87605190.0,-81720602.0,-81723002.0,-81723002.0,-1.34,-1.34,60750327.0,61050880.0,1.0,-10.483187999999998,-78726351.0,-81986396.0,-81723002.0,-10.790260000000004,-12.064288999999999,85366448.0,85366448.0,90502543.0,15386761.0,128176505.0,25643794.0,33152246.0,-398435043.0,95579447.0,13216578.0,3260045.0,-64427486.0,-3860237.0,13447763.0,55131817.0,4152094.0,-68287723.0,75.1052409999999,0.0012352731883273,3.529,3.3318567447547003,3.3289320605212005,75.08663800000006,-0.1823,0.7884,4.420890000000003,-1.1841,106011637.0,57350297.0,-2149151.3400000003,-0.5855,0.1153,0.0688,0.1625,0.1625,0.0195,-0.0309,Healthcare,1,119.04762986025335
KURA,0.0,0.0,0.0,7963000.0,24538000.0,-24538000.0,-27560000.0,-27560000.0,-27560000.0,-1.47,-1.47,21367747.0,18701000.0,0.0,0.0,-26952000.0,-26983000.0,-27560000.0,0.0,0.0,9725000.0,67790000.0,68810000.0,40000.0,69821000.0,5451000.0,12945000.0,-53856000.0,56876000.0,0.0,31000.0,-25349000.0,0.0,12178000.0,7453000.0,-5718000.0,-25349000.0,0.0,0.0,12.623,12.364713242368321,1.7840763162722,0.0,-0.2625,0.9198,0.0,0.0,69821000.0,55865000.0,61969000.0,0.0,-0.1973,-0.2273,0.3553,0.3553,-0.4142,-0.1998,Healthcare,1,173.21429377307712
GTHX,0.0,-0.554284,0.0,5230000.0,30391000.0,-30391000.0,-30291000.0,-30291000.0,-34696000.0,-13.523,-13.46,27414000.0,1486986.0,0.0,0.0,-30224000.0,-30291000.0,-30291000.0,0.0,0.0,47305000.0,47305000.0,47901000.0,311000.0,48212000.0,5625000.0,5625000.0,-64985000.0,-64993000.0,3020000.0,67000.0,-25141000.0,-250000.0,-250000.0,49758000.0,24367000.0,-25391000.0,0.0,0.0,8.516,8.4097777777778,7.8134023163787845,0.0,-1.05758,0.7246,0.0,-3.7313,48212000.0,42276000.0,-2149151.3400000003,-0.754316,-0.4949,-0.9704,-0.4464,-0.4464,-0.8159,1.0175,Healthcare,1,32.266667683919266
MRNS,0.0,0.0,0.0,6237000.0,28307000.0,-28307000.0,-28643000.0,-28643000.0,-28643000.0,-1.47,-1.47,19705495.0,19498143.0,0.0,0.0,-28156000.0,-28179000.0,-28643000.0,0.0,0.0,26178000.0,30100000.0,30299000.0,1148000.0,31447000.0,8084000.0,9968000.0,-125829000.0,21479000.0,1775000.0,23000.0,-24769000.0,-644000.0,1396000.0,-2171000.0,-25544000.0,-25413000.0,0.0,0.0,3.748,3.7234042553191,3.2382483918852003,0.0,-1.05758,0.8647,0.0,-6.084164,31447000.0,20331000.0,2428000.0,0.0,-0.1561,-0.1583,0.1198,0.1198,-0.2305,-0.390654,Healthcare,1,684.6153987229934
ALGN,1079874000.0,0.2772,815294000.0,490653000.0,566373000.0,248921000.0,240882000.0,189682000.0,189682000.0,2.38,2.33,79689402.0,79856000.0,0.755,0.2231,264884000.0,240882000.0,189682000.0,0.2231,0.1757,389275000.0,640256000.0,952978000.0,175167000.0,1396151000.0,354335000.0,400762000.0,131448000.0,995389000.0,325739000.0,24002000.0,247654000.0,-70576000.0,73028000.0,-95524000.0,221784000.0,177078000.0,7.1552,0.7734650478350801,2.689,2.5051744817757,1.0986072502011,7.1552,0.0245,1.3056,0.4544,-2.9404,1314153000.0,552216000.0,570543000.0,0.2737,0.2944,0.3196,0.3222,0.3164,0.0406,0.205,Healthcare,1,129.15635781703318
AVXL,0.0,0.0,0.0,8334740.0,15589043.0,-15589043.0,-14707083.0,-14736698.0,-14736698.0,-0.42,-0.42,35710862.0,35153426.0,0.0,0.0,-14705831.0,-14707083.0,-14736698.0,0.0,0.0,9239210.0,9239210.0,9446285.0,0.0,10158653.198345,3190525.0,3190525.0,-78018153.0,6308156.0,70532.0,1252.0,-9236823.0,0.0,0.0,3132661.0,-6104162.0,-9236823.0,0.0,0.0,2.9610000000000003,2.8958274892063,2.8958274892063,0.0,-0.1157,0.6268,0.0,0.0,9498681.0,6255760.0,-2149151.3400000003,0.0,-0.2219,-1.1929,0.3538,0.3538,-1.1852,-0.386,Healthcare,0,-21.654503065505935
AXDX,246000.0,0.6735,246000.0,37183000.0,66747000.0,-66501000.0,-66107000.0,-66374000.0,-66374000.0,-1.29,-1.29,51436947.0,51276000.0,1.0,-10.483187999999998,-63756000.0,-66107000.0,-66374000.0,-10.790260000000004,-12.064288999999999,19244000.0,77763000.0,78448000.0,4258000.0,82852000.0,4036000.0,5036000.0,-177289000.0,77816000.0,3044000.0,2351000.0,-53408000.0,-2409000.0,-49568000.0,1762000.0,-101341000.0,-55817000.0,75.1052409999999,0.0029691498092985,13.601818653167232,12.364713242368321,4.7680872150644005,75.08663800000006,-0.0616,0.8047,4.420890000000003,-1.0247,82706000.0,73412000.0,59426000.0,0.6735,-0.4531,-0.46,-0.2772,-0.2772,-0.5205,-0.390654,Healthcare,1,25.05966495851995
NUVA,962132000.0,0.1862,722027000.0,533600000.0,598428000.0,123599000.0,66501000.0,37192000.0,37192000.0,0.74,0.69,50348204.0,50077000.0,0.7504,0.1112,209734000.0,107021000.0,35471000.0,0.0691,0.0387,161048000.0,161048000.0,575443000.0,181524000.0,1570804000.0,242497000.0,870280000.0,-66859000.0,694936000.0,103211000.0,102713000.0,158085000.0,-88372000.0,-304885000.0,110823000.0,-36906000.0,69713000.0,3.4621,0.6125092627724399,2.373,1.3717406813280002,0.66412367988058,3.4621,0.0112,4.2505,0.5546,-0.8604,793976000.0,-294837000.0,1016544000.0,0.1709,-0.2469,-0.1113,-0.4559,-0.4524,0.7817,0.2058,Healthcare,0,-11.593109974441068
ADVM,1455000.0,-0.3726,1455000.0,24355000.0,116739000.0,-115284000.0,-114522000.0,-113747000.0,-113747000.0,-3.14,-3.14,41718515.0,36246000.0,1.0,-10.483187999999998,-112919000.0,-114522000.0,-113747000.0,-10.790260000000004,-12.064288999999999,222170000.0,222170000.0,225274000.0,4169000.0,234583000.0,9896000.0,18983000.0,-197915000.0,215600000.0,8422000.0,1603000.0,-38366000.0,-2412000.0,38775000.0,556000.0,822000.0,-40778000.0,75.1052409999999,0.0062024954920007,13.601818653167232,12.364713242368321,7.8134023163787845,75.08663800000006,-1.05758,0.3373,4.420890000000003,-1.5047,229583000.0,206291000.0,-2149151.3400000003,-0.3726,-1.4134,-1.4106,-0.6882,-0.6882,-0.0857,-0.1125,Healthcare,1,18.644065878850874
BIOS,935589000.0,-0.0475,262082000.0,208579000.0,273071000.0,-10989000.0,-40750000.0,-42765000.0,-51849000.0,-0.55,-0.55,117682543.0,93740000.0,0.2801,-0.0034,18847000.0,-3178000.0,-42765000.0,-0.0436,-0.0457,9569000.0,9569000.0,173327000.0,32678000.0,604985000.0,130147000.0,566604000.0,-645315000.0,-33621000.0,43527000.0,22025000.0,-42541000.0,-9870000.0,-73209000.0,109742000.0,-6008000.0,-52411000.0,0.1748,1.5464664413167,1.332,0.91169984709598,0.073524553005448,0.1748,-0.3957,0.8205,0.2229,-0.4481,207995000.0,-393277000.0,520213000.0,0.0082,0.9888,0.962,0.878,0.878,0.3377,0.1401,Healthcare,1,109.35252631502213
ARAY,398800000.0,0.05,158713000.0,106934000.0,163586000.0,-4873000.0,-23168000.0,-25504000.0,-25504000.0,-0.32,-0.32,80924480.0,80509000.0,0.398,-0.0581,-4872000.0,-23168000.0,-25504000.0,-0.0581,-0.064,122133000.0,169372000.0,361680000.0,27878000.0,469033000.0,210212000.0,409373000.0,-420807000.0,59660000.0,155083000.0,18296000.0,30925000.0,-8066000.0,8262000.0,-757000.0,37424000.0,22859000.0,1.0532,0.85026000302751,1.721,1.0759709245904,0.5809991817784,1.0532,-0.0617,-1.2126,0.2681,-0.4409,403574000.0,-47693000.0,281641000.0,0.0915,0.3869,0.7458,0.3725,0.3725,3.1462,0.0048,Healthcare,0,-8.510630526872616
DERM,22585000.0,1.4296120000000003,22585000.0,30043000.0,113209000.0,-90624000.0,-89084000.0,-89084000.0,-89084000.0,-2.7,-2.7,35603622.0,33045000.0,1.0,-3.9444,-88961000.0,-89084000.0,-89084000.0,-3.9444,-3.9444,41793000.0,251942000.0,283991000.0,1127000.0,312601000.0,34992000.0,65231000.0,-250132000.0,247370000.0,21492000.0,123000.0,-74111000.0,-753000.0,-130288000.0,138950000.0,-65449000.0,-74864000.0,48.3963,0.072248649236567,8.116,7.8115569272977,1.1943587105623998,48.3963,-0.0879,0.8319,1.3302,-6.084164,310704000.0,218760000.0,233919000.0,2.0938,-0.1294,-0.1378,0.0785,0.0785,-0.5299,0.4085,Healthcare,0,-9.413684772561416
AYTU,2562445.0,1.4296120000000003,1605369.0,8825296.0,23309766.0,-21704397.0,-28180084.0,-28180084.0,-28180084.0,-13.523,-13.46,1661111.48,1217846.32,0.6265,-8.8543,-21813809.0,-22688598.0,-28180084.0,-10.790260000000004,-10.9973,8054190.0,9095552.0,10120227.0,231430.0,24343007.0,10104425.0,14257754.0,-46561425.0,10085253.0,2402145.0,874789.0,-10657449.0,-252932.0,-5303925.0,16662503.0,701129.0,-10910381.0,6.827000000000001,0.10526411137293,1.002,0.91623016648647,0.79709533199564,6.827000000000001,-1.05758,0.3782,3.4441,-0.2891,10568016.0,-4137527.0,-2149151.3400000003,2.305817999999998,-1.9727,-1.8437,-0.6072,-0.6072,-0.6064,0.3386,Healthcare,0,-90.30434815779977
PRGO,5280600000.0,0.2492,2051800000.0,1117200000.0,4051500000.0,-211362600.0,-344558230.95825005,-347256082.93736,-346825730.799144,-13.523,-13.46,143374427.0,143300000.0,0.3886,-0.8771,-117687410.0,-238508270.0,-346551880.0,-0.9181,-0.7599,622300000.0,622300000.0,2805300000.0,870100000.0,13870100000.0,1836300000.0,7912500000.0,-1610210000.0,5958100000.0,791800000.0,457000000.0,654900000.0,-106200000.0,-175000000.0,-268700000.0,204500000.0,548700000.0,2.3486,0.38071823562916,1.528,0.97930621358166,0.33888798126668,2.3486,-0.3238,-0.1632,0.2116,-0.2324,6309400000.0,-5107200000.0,9648100000.0,-0.0064,-3.8430479999999996,-3.440972,-4.0232,-4.087708000000001,-0.1431,-0.2832,Healthcare,1,1.5924218817642912
PRAH,1811711000.0,0.1226,547335000.0,269893000.0,384379000.0,162956000.0,96669000.0,68175000.0,68175000.0,1.12,1.06,61408892.0,60759000.0,0.3021,0.0837,221088000.0,151582000.0,68175000.0,0.0534,0.0376,149338000.0,149338000.0,624737000.0,87577000.0,2190391000.0,564199000.0,1461139000.0,74255000.0,729252000.0,481614000.0,69506000.0,160047000.0,-33133000.0,-34614000.0,-101595000.0,23213000.0,126914000.0,1.8768,0.82711762420499,1.107,1.0428784879094,0.2646902954454,1.8768,0.0202,2.3476,0.149,-0.4767,744435000.0,-836402000.0,859200000.0,0.1186,-0.1264,0.0006,-0.1765,-0.1783,0.05,-0.0172,Healthcare,1,64.47535028284358
CLDX,6786000.0,0.2383,6786000.0,35979000.0,139702000.0,-132916000.0,-128530000.0,-128530000.0,-128530000.0,-13.523,-13.46,6749925.0,6769000.0,1.0,-10.483187999999998,-117687410.0,-128530000.0,-128530000.0,-10.790260000000004,-12.064288999999999,42461000.0,189776000.0,195569000.0,13192000.0,383358000.0,35223000.0,117927000.0,-719486000.0,265431000.0,33483000.0,4092000.0,-86932880.0,-2751000.0,68907000.0,14482000.0,-29647000.0,-115787000.0,53.8621,0.017701469644562002,5.5520000000000005,5.4384918945008005,1.2054907304886002,53.8621,-0.3507,0.8795,4.420890000000003,-0.6723,210895000.0,77642000.0,133211000.0,0.2383,-0.0105,-0.0261,0.0336,0.0336,-0.1431,0.1356,Healthcare,0,-21.32964492390261
VCEL,54383000.0,0.0628,26076000.0,27388000.0,45321000.0,-19245000.0,-19566000.0,-19566000.0,-19566000.0,-1.18,-1.18,24107116.0,23093000.0,0.4795,-0.354,-17366000.0,-19252000.0,-19566000.0,-0.3598,-0.3598,22978000.0,22978000.0,44723000.0,3875000.0,48598000.0,12853000.0,23890000.0,-343591000.0,24708000.0,5539000.0,1886000.0,-19892000.0,-1415000.0,-1415000.0,29704000.0,8397000.0,-21307000.0,1.2855,1.1190378204863998,3.48,3.1176379055473,1.7877538317902,1.2855,-0.4069,1.0167,0.5036,-0.7503,48598000.0,20833000.0,22896000.0,0.0558,-0.1789,-0.1544,-0.2165,-0.2165,-0.4905,0.4165,Healthcare,1,87.93102172552237
SENS,332000.0,1.4296120000000003,0.0,15758000.0,42105000.0,-42433000.0,-43930000.0,-43930000.0,-43930000.0,-0.49,-0.49,93390172.0,89243853.0,0.0,-10.483187999999998,-42173000.0,-42328000.0,-43930000.0,-10.790260000000004,-12.064288999999999,13047000.0,20338000.0,21431000.0,735000.0,22271000.0,11625000.0,27148000.0,-204722000.0,-4877000.0,4666000.0,155000.0,-38016000.0,-479000.0,-7770000.0,54894000.0,9108000.0,-38495000.0,75.1052409999999,0.014907278523641,1.844,1.7710967741935,1.1223225806452,75.08663800000006,-0.1795,0.8654,4.420890000000003,-3.0903,22271000.0,-5717000.0,16665000.0,-0.754316,-0.4709,-0.4728,0.8866,0.8866,-0.4929,1.529889999999997,Healthcare,0,-2.5641001008693984
IQV,6815000000.0,0.1879,2067000000.0,1016000000.0,1491000000.0,576000000.0,397000000.0,72000000.0,72000000.0,0.48,0.47,246181560.0,149100000.0,0.3033,0.0794,830000000.0,541000000.0,87000000.0,0.0583,0.0106,1198000000.0,1238000000.0,3337000000.0,406000000.0,21208000000.0,2705000000.0,12348000000.0,-399000000.0,8633000000.0,870000000.0,289000000.0,860000000.0,-164000000.0,194015599.99999964,-2284000000.0,221000000.0,696000000.0,2.779,0.32134100339495,1.234,1.0887245841035,0.44288354898336,2.779,0.0062,10.788279000000003,0.1491,-0.5675,4091000000.0,-9011000000.0,7388000000.0,0.2751,-0.1638,-0.1084,-0.8476,-0.8474,0.8067,1.529889999999997,Healthcare,1,27.25854820943278
SGRY,1145438000.0,0.1933,324242000.0,60246000.0,120648000.0,203594000.0,16548000.0,1429000.0,9453000.0,0.2,0.2,48493738.0,36066233.0,0.2831,0.1022,-12028000.0,117119000.0,72845000.0,0.0144,0.0015,69699000.0,80570000.0,361955000.0,204253000.0,2304958000.0,186725000.0,1980284000.0,-311351000.0,9677000.0,109137000.0,39551000.0,125239000.0,-39109000.0,-184749000.0,71276000.0,11766000.0,51042000.0,0.6562,0.4969452805647701,1.715,1.6128745481323,0.37327085285848,0.6562,0.0129,10.788279000000003,0.0526,-0.9888,701731000.0,-1618329000.0,1659085000.0,0.1159,3.5147,0.2961,4.0,4.0,0.4825,0.0953,Healthcare,0,-21.93548140987273
