,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,"Property, Plant & Equipment Net",Total assets,Total liabilities,Retained earnings (deficit),Total shareholders equity,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Invested Capital,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Sector,Class,2015 PRICE VAR [%]
FSM,174006000.0,60253000.0,25426000.0,26704000.0,33549000.0,32879000.0,15602000.0,15602000.0,0.12,0.12,125973966.0,126786921.0,0.3463,0.331,0.1956,0.09,0.1225,57548000.0,34031000.0,15602000.0,0.189,0.0897,42867000.0,233849000.0,350310000.0,77597000.0,55846000.0,272713000.0,23517000.0,60192000.0,-38876000.0,-56960000.0,8231000.0,11463000.0,21316000.0,3.294,0.0572,0.4967200479575201,0.4747,-0.123,0.3381,1.3724,0.1231,0.4747,-0.123,0.3381,2.151,2.763,2.151,3.294,0.0264,3.858,0.1461,-1.6531,350310000.0,275422000.0,0.0572,-0.3066,0.4423,4.226564000000001,3.563666000000012,Basic Materials,0,-51.92307515962582
PAAS,751942000.0,8073000.0,17908000.0,627564000.0,-97836600.0,-136172940.0,-142071800.0,-147297760.0,-3.6,-3.6,151500294.0,151511000.0,0.0107,-0.64,-0.8359,-0.725,-0.0076,-62411800.0,-91950040.0,-147987600.0,-0.8476,-0.7246,146193000.0,1266391000.0,2017873000.0,447936000.0,-755186000.0,1563092000.0,147710000.0,124188000.0,-129909000.0,-143246000.0,-83908000.0,-103744000.0,-5721000.0,1.8536,-0.3486,0.372640894645,0.8197,-0.038,0.9649,4.963,-3.5959,0.8197,-0.038,0.9649,10.317,13.298,10.3167,1.8536,-0.3913,-0.2279,0.0238,-0.8795,2014816000.0,1721016000.0,-0.3486,-0.8574,-0.579278,-0.5009,-0.4484,Basic Materials,0,-29.87860520098329
UUUU,46253000.0,16346000.0,11341000.0,102624000.0,-86278000.0,-86532000.0,-86635000.0,-86635000.0,-4.41,-4.41,19601251.0,19601251.0,0.3534,-1.6869999999999998,-1.8343,-1.873,-0.1358,-62411800.0,-84843000.0,-86635000.0,-1.8708,-1.8731,26559000.0,63200000.0,128589000.0,27778000.0,-159891000.0,100811000.0,6796000.0,-7691000.0,0.0,11138000.0,469000.0,3916000.0,-6279000.0,2.6232,-0.8594,0.35969639704796,-0.3924,-0.32,1.355,2.3597,-4.4199,-0.3924,-0.32,1.355,5.143,6.362,5.1431,2.6232,-0.7124,0.0888,0.2452,0.0,124708000.0,107551000.0,-0.8594,0.0,1.9575,-1.4159,-1.5858,Basic Materials,0,-52.110387650041154
SHW,11129533000.0,5164484000.0,3860448000.0,3860448000.0,1304036000.0,1258226000.0,865887000.0,865887000.0,7.464899999999997,7.316999999999998,95997693.0,95997693.0,0.464,0.13699999999999998,0.1188,0.078,0.0792,1521376000.0,1322431000.0,865887000.0,0.1131,0.0778,40732000.0,1021030000.0,5699333000.0,4702863000.0,2424674000.0,996470000.0,198945000.0,1081528000.0,-200545000.0,-310050000.0,-1467075000.0,-522375466.529576,880983000.0,2.2688,0.7597259999999966,1.9527781584266,11.2662,9.177,0.4243,115.9354,9.0199,11.2662,9.177,0.4243,10.38,44.291,10.3801,2.2688,0.0342,1.249,0.3469,-1.008,4251860000.0,3329159000.0,0.7600679999999989,-2.0891,0.1187,0.1513,0.1375,Basic Materials,0,-0.12332055627933132
SSRM,300122000.0,36200000.0,21862000.0,86225000.0,-50025000.0,-95815000.0,-126393000.0,-126393000.0,-1.57,-1.57,80754434.0,80754000.0,0.1206,-0.09,-0.2312,-0.421,0.2082,-27092000.0,-69403000.0,-126393000.0,-0.3193,-0.4211,184643000.0,439074000.0,986249000.0,406999000.0,-183408000.0,579250000.0,42311000.0,68833000.0,-6352000.0,-298700000.0,5922000.0,-231014000.0,62481000.0,1.3481,-0.2182,0.30430651894197,0.8524,0.7737,2.2865,3.7165,-1.5652,0.8524,0.7737,2.2865,7.172999999999999,12.213,7.172999999999999,1.3481,-0.3134,-0.5446,0.0728,-0.1501,986249000.0,881792000.0,-0.2182,-0.0787,2.2457080000000005,0.6452,0.7393,Basic Materials,0,-1.8939465434861475
UFS,5563000000.0,1167000000.0,416000000.0,803000000.0,364000000.0,261000000.0,431000000.0,431000000.0,6.65,6.64,64470324.0,64800000.0,0.2098,0.134,0.0654,0.077,0.0717,748000000.0,364000000.0,431000000.0,0.0469,0.0775,174000000.0,3131000000.0,6185000000.0,3295000000.0,1145000000.0,2890000000.0,384000000.0,634000000.0,-235000000.0,-786000000.0,-326000000.0,-478000000.0,399000000.0,0.4661,0.1491,0.89943411479386,9.784,6.157,2.6852,85.8488,6.6512,9.784,6.157,2.6852,44.599,76.497,44.5988,0.4661,0.1653,1.471,0.0748,-0.612,4957000000.0,5217000000.0,0.1491,-3.6265,0.133,1.275,1.2609,Basic Materials,0,-2.211765686041147
HBM,507515000.0,57346000.0,41752000.0,87030000.0,-29684000.0,13942000.0,65269000.0,65269000.0,0.31,0.31,172078376.0,209023666.0,0.113,0.212,0.046,0.129,-1.2328,107768000.0,23366000.0,65350000.0,0.0275,0.1286,178668000.0,4065003000.0,4850881000.0,2741823000.0,590725000.0,2109058000.0,84402000.0,265263000.0,-890915000.0,-873824000.0,196178000.0,-415001000.0,-521140520.0000001,2.943,0.0309,0.10462326327939,1.2691,-4.405,0.8548,2.428,0.3123,1.2691,-4.405,0.8548,10.09,22.289,10.09,2.943,0.0357,4.0641,0.0823,-8.70119,4658900000.0,5143921000.0,0.0309,-4.2623,-0.2832,1.5966,-3.3145,Basic Materials,0,-56.961161830582846
VEDL,12114641276.2048,2795339513.9063,740933767.6439,665079762.7996,2130259751.1067,837083437.7349,258347949.5532,258347949.5532,0.3488,0.3488,49522667.4518,49528186.2691,0.2307,0.0056,0.1695,0.0004,0.0611,4089534786.6032,2053503716.6959,1039438737.1586,0.0691,0.0213,257629666.7502,19467000000.0,43129357721.5401,22042863108.6612,7908310364.9879,11685793034.3272,1960250000.0000043,2268136640.7751,-1527520253.9046,-879161446.5882,-104902697.7366,-37400818.5083,740616386.8705,0.0508,0.0221,0.28089083436905,37.53620799999999,11.134759999999979,167.6213619999999,545.976,14.38077399999997,38.533075,11.550999999999998,167.6213619999999,15.765,58.0271,345.6795239999999,0.0508,0.0281,8.7794,0.0612,-0.7502,43012695230.9363,48609020295.6652,0.0221,-31.92555,-0.0833,0.018000000000000002,-0.1065,Basic Materials,0,-58.25391140985282
MAG,0.0,0.0,5435757.0,15451614.0,-15451614.0,-16685578.0,-16133203.0,-16133203.0,-0.25,-0.25,60141718.0,64113376.0,0.0,-0.1579651840036317,0.0,-0.2929777215783208,0.0,-16650393.0,-16685578.0,-16133203.0,0.0,0.0,86280385.0,50533063.0,169523496.0,4232856.0,-112076482.0,165290640.0,35185.0,-5037162.0,-4712052.0,-9529191.0,76725250.0,61229437.0,-9749214.0,0.0,-0.0976,0.0,-0.0786,-0.16899999999999998,1.3457,0.0,-0.2516,-0.0786,-0.16899999999999998,1.3457,2.5780000000000003,2.644,2.5781,0.0,-0.0307,0.3122,0.0,-8.70119,169523496.0,79010255.0,-0.0976,-0.0735,0.0,0.3362,0.3834,Basic Materials,0,-14.837153494974803
CRH,22895883777.2397,6640435835.3511,5530266343.8257,5530266343.8257,1110169491.5254,918886198.5472,704600484.2615,704600484.2615,0.9552,0.954,894953510.8959,894953510.8959,0.29,0.1053,0.0536,0.0375,0.063,1990314769.9758,1226392251.816,707021791.7676,0.0401,0.0308,3949152542.3729,8985472154.9637,26654963680.3874,14308716707.0218,6543583535.109,12320823244.5521,763922518.1598,1968523002.4213,-526634382.5666,-280871670.7022,-460048426.1501,756658595.6416,1441888619.8547,0.9385,0.0572,0.85897261207249,1.8168,1.611,3.6447,21.131,0.6503,1.8168,1.611,3.6447,16.6671,29.224,11.3711,0.9385,0.0398,2.7938,0.2415,-0.6894,21602905569.0073,20073849878.9346,0.0572,-0.486,-0.0103,4.226564000000001,3.563666000000012,Basic Materials,1,24.283424642647706
IPI,410389000.0,42004000.0,27223000.0,26224000.0,15780000.0,10811000.0,9761000.0,9761000.0,0.13,0.13,76012465.0,75504677.0,0.1024,0.238,0.0415,0.024,0.1602,97603000.0,17043000.0,9761000.0,0.0263,0.0238,67589000.0,785250000.0,1166719000.0,219434000.0,371051000.0,947285000.0,80560000.0,127486000.0,-61753000.0,-59624000.0,-667000.0,67195000.0,65733000.0,2.5709,0.0103,0.35174622166949,1.6885,0.8706,0.8952,5.4353,0.1293,1.6885,0.8706,0.8952,12.546,15.452,12.546,2.5709,0.0094,9.1763,0.0663,-0.7665,1166719000.0,1202495000.0,0.0103,-0.8179,-0.4609,-0.5699,-0.6136,Basic Materials,0,-79.23997157097544
BLDR,1604096000.0,356997000.0,307387000.0,307387000.0,49610000.0,19261000.0,18150000.0,18150000.0,0.19,0.18,98145028.0,98050000.0,0.2226,0.037000000000000005,0.0309,0.011,0.0012,59129000.0,49610000.0,18150000.0,0.012,0.0113,17773000.0,75679000.0,574065000.0,533865000.0,-340873000.0,40200000.0,9519000.0,27493000.0,-25503000.0,-94840000.0,30424000.0,-36923000.0,1990000.0,0.4203,0.4515,2.6762641560515705,0.2804,0.02,0.1813,16.36,0.1851,0.2804,0.02,0.1813,0.41,4.254,0.41,0.4203,0.0277,1.5148,0.1916,-2.6792,417063000.0,602026000.0,0.4515,-0.2601,0.1159,0.0397,0.0326,Basic Materials,1,64.14814701786747
GPRE,3235611000.0,426142000.0,77729000.0,139868000.0,286274000.0,250430000.0,159504000.0,159504000.0,4.37,3.96,37611004.0,36467000.0,0.1317,0.109,0.0897,0.049,0.0501,352477000.0,290338000.0,159504000.0,0.0774,0.0493,455252000.0,825210000.0,1821062000.0,1023613000.0,299101000.0,797449000.0,62139000.0,221550000.0,-59547000.0,-78595000.0,10528000.0,153483000.0,162003000.0,0.28800000000000003,0.2,1.7767714663202,6.0754,4.442,12.4839,88.7271,4.3739,6.0754,4.442,12.4839,21.868,48.816,21.8677,0.28800000000000003,0.16642799999999935,1.389,0.024,-0.9583,1780185000.0,1486184000.0,0.2,-1.6329,0.9881,1.7484,1.6543,Basic Materials,0,-9.27004976823454
RPM,4376353000.0,1875768000.0,1390128000.0,1390128000.0,485640000.0,410163000.0,291660000.0,291660000.0,2.2,2.18,133247375.0,129438000.0,0.4286,0.133,0.1122,0.067,0.0421,581183000.0,491114000.0,305984000.0,0.0937,0.0666,332868000.0,532805000.0,4378365000.0,2799771000.0,833691000.0,1382844000.0,90069000.0,278149000.0,-93792000.0,-149711000.0,-137243000.0,-10686000.0,184357000.0,1.3147,0.2109,0.99954046773168,2.1489,2.149,2.5716,33.8104,2.2533,2.1489,2.149,2.5716,10.683,21.411,10.6834,1.3147,0.0509,0.9537,0.3176,-1.0413,2771455000.0,2853128000.0,0.2109,-0.7246,0.1016,1.0006,0.5753,Basic Materials,0,-10.456944981616372
CMP,1282500000.0,421400000.0,110400000.0,110400000.0,311000000.0,291800000.0,217900000.0,217900000.0,6.45,6.44,33588443.0,33557000.0,0.3286,0.304,0.2432,0.17,0.0918,389900000.0,311900000.0,217900000.0,0.2275,0.1699,266800000.0,700900000.0,1637200000.0,983600000.0,589500000.0,653600000.0,78000000.0,242900000.0,-125200000.0,-189200000.0,64600000.0,107200000.0,117700000.0,2.2741,0.3334,0.78334962130467,7.2384,3.507,7.9507,38.2186,6.4934,7.2384,3.507,7.9507,19.477,43.583,19.4773,2.2741,0.0743,1.1147,0.0861,-1.6051,1462500000.0,1584400000.0,0.3334,-3.731,0.4734,0.6245,0.6756,Basic Materials,0,-10.704560293697929
IFF,3088533000.0,1362150000.0,507563000.0,769829000.0,592321000.0,549061000.0,414543000.0,414543000.0,5.09,5.06,80971601.0,80971601.0,0.441,0.222,0.1927,0.134,0.1226,684482000.0,595128000.0,414543000.0,0.1778,0.1342,478573000.0,720268000.0,3494621000.0,1971932000.0,3350734000.0,1518561000.0,89354000.0,518390000.0,-139887000.0,-221333000.0,-202330000.0,73068000.0,378503000.0,2.6573,0.273,0.88379626860824,6.4021,4.675,5.9104,38.1434,5.1196,6.4021,4.675,5.9104,18.754,33.871,18.7542,2.6573,0.0502,1.2505,0.1643,-1.5655,2742580000.0,2687521000.0,0.273,-1.7276,0.0607,0.1187,0.1472,Basic Materials,1,20.80341997448252
AVD,298634000.0,114496000.0,107786000.0,107786000.0,6710000.0,4390000.0,4841000.0,4841000.0,0.17,0.17,29109085.0,28436000.0,0.3834,0.08,0.025,0.016,-0.1382,23788000.0,7456000.0,4066000.0,0.0147,0.0162,4885000.0,50026000.0,472321000.0,211318000.0,202488000.0,261637000.0,16332000.0,-34095000.0,-7180000.0,-7680000.0,41156000.0,-619000.0,-41275000.0,1.1326,0.0185,0.63226915593421,-1.199,-1.452,0.1718,10.502,0.1702,-1.199,-1.452,0.1718,9.201,13.086,9.2009,1.1326,0.0146,-6.915212,0.3609,-0.4396,372110000.0,384656000.0,0.0185,-0.2525,-0.3318,-0.8658,-0.8796,Basic Materials,1,21.10371778198788
SMG,2578300000.0,890100000.0,567100000.0,606400000.0,283700000.0,246700000.0,166500000.0,166500000.0,2.7,2.65,61211495.0,61211495.0,0.3452,0.139,0.114,0.065,0.0609,358400000.0,294000000.0,166200000.0,0.0957,0.0646,89300000.0,437000000.0,2058300000.0,1491100000.0,636900000.0,553700000.0,64400000.0,240900000.0,-83900000.0,-155600000.0,-124300000.0,-40500000.0,157000000.0,1.3058,0.3007,1.2526356702133,3.9355,2.5649,1.4589,42.1212,2.7201,3.9355,2.5649,1.4589,9.046,22.948,9.0457,1.3058,0.0491,1.4468,0.22,-1.3028,1404700000.0,1555000000.0,0.3007,-1.3707,-0.0901,-0.0583,-0.0863,Basic Materials,1,7.387456166329793
HSC,2066288000.0,422418000.0,284737000.0,353131000.0,69287000.0,8195000.0,-22171000.0,-22171000.0,-0.27,-0.27,80809528.0,80884000.0,0.2044,0.112,0.0268,-0.011,0.0086,231632000.0,55306000.0,-17676000.0,0.004,-0.0107,62843000.0,663244000.0,2269227000.0,1917317000.0,1283549000.0,307588000.0,176326000.0,226727000.0,-208859000.0,-229561000.0,-21794000.0,-30762000.0,17868000.0,0.7388,-0.0721,0.91056910569106,2.8031,0.221,0.777,25.5463,-0.2741,2.8031,0.221,0.777,3.803,22.187,3.8028,0.7388,-0.0143,-6.915212,0.1378,-1.1845,1794548000.0,2037790000.0,-0.0721,-2.5822,-0.3571,1.3657,1.4857,Basic Materials,0,-55.12816288570619
WLK,4415350000.0,1317350000.0,183745000.0,193359000.0,1123991000.0,1077425000.0,678523000.0,678523000.0,5.09,5.07,133082630.0,133111230.0,0.2984,0.3,0.2525,0.154,0.1362,1323263000.0,1114777000.0,685016000.0,0.244,0.1537,880601000.0,2757557000.0,5213990000.0,2012102000.0,2555528000.0,2911511000.0,208486000.0,1032376000.0,-431104000.0,-773205000.0,164640000.0,419300000.0,601272000.0,1.8413,0.233,0.84682747761311,7.7557,4.517,6.6155,33.1704,5.0974,7.7557,4.517,6.6155,21.873,37.529,21.8728,1.8413,0.0833,1.5215,0.0416,-2.0678,4995559000.0,4341775000.0,0.233,-3.2387,0.196,0.1609,0.1788,Basic Materials,0,-10.945706978732577
USCR,703714000.0,130396000.0,61268000.0,84492000.0,45904000.0,22738000.0,20582000.0,20582000.0,1.52,1.48,13979794.0,13541000.0,0.1853,0.095,0.0613,0.029,0.0313,67018000.0,43169000.0,20582000.0,0.0323,0.0292,30202000.0,176524000.0,460528000.0,359048000.0,-42743000.0,101480000.0,23849000.0,50915000.0,-28876000.0,-118478000.0,-14902000.0,-82465000.0,22039000.0,0.5652,0.2028,1.5280590973839,3.7601,1.6276,2.2304,51.9691,1.52,3.7601,1.6276,2.2304,7.494,27.919,7.4943,0.5652,0.0534,2.4738,0.0871,-1.2108,378051000.0,437938000.0,0.2028,-2.1325,0.3106,4.226564000000001,1.1415,Basic Materials,1,77.12748287331779
WLKP,1749700000.0,745812000.0,29256000.0,29256000.0,716556000.0,709208000.0,509820000.0,509820000.0,0.5,0.5,27059730.0,27059730.0,0.4263,0.456,0.4113,0.29100000000000004,0.2293,797318000.0,719707000.0,509820000.0,0.4053,0.2914,133750000.0,842057000.0,1096435000.0,261485000.0,1152195558.9082773,87524000.0,77611000.0,604012000.0,-202823000.0,-202956000.0,-267306000.0,133750000.0,401189000.0,0.4485,0.7597259999999966,1.5958082330462,22.3214,11.134759999999979,4.9428,64.6607,14.38077399999997,22.3214,11.550999999999998,4.9428,3.234,40.304,3.2345,0.4485,0.0172,1.1848,0.0167,-2.6133,1090621000.0,1152525000.0,0.7600679999999989,-7.4954,-0.1453,-0.1581,-0.1542,Basic Materials,0,-15.720326348857661
APD,10439000000.0,2809100000.0,1054700000.0,1470000000.0,1339100000.0,1361100000.0,991700000.0,991700000.0,4.66,4.61,213015723.0,212700000.0,0.2691,0.234,0.1424,0.095,0.0793,2443100000.0,1486200000.0,993100000.0,0.1304,0.095,336600000.0,9532100000.0,17779100000.0,9970500000.0,9993200000.0,7365800000.0,956900000.0,2190100000.0,-1362700000.0,-1316500000.0,-504300000.0,-113800000.0,827400000.0,2.4574,0.1346,0.58715008071275,10.2967,3.89,1.5825,49.0785,4.6624,10.2967,3.89,1.5825,34.63,74.875,34.63,2.4574,0.0387,2.2084,0.101,-1.4241,15926000000.0,18744900000.0,0.1346,-6.4067,0.0372,0.0293,0.0111,Basic Materials,0,-8.21974930187479
SXC,1503800000.0,290900000.0,96700000.0,203000000.0,87900000.0,-136172940.0,-126100000.0,-126100000.0,-1.83,-1.83,66217462.0,68800000.0,0.1934,-0.02,-0.0912,-0.084,-0.0086,-30800000.0,-91950040.0,-101800000.0,-0.123,-0.0839,139500000.0,1480000000.0,1959700000.0,1254300000.0,13900000.0,431700000.0,106300000.0,112300000.0,-125200000.0,-125200000.0,-81700000.0,-94600000.0,-12900000.0,0.8516,-0.2921,0.7673623513803101,1.6323,-0.1875,2.0276,21.8576,-1.8328,1.6323,-0.1875,2.0276,6.275,28.164,6.2747,0.8516,-0.0946,-0.8906,0.0643,-1.1778,1937700000.0,2219200000.0,-0.2921,-1.8198,-0.0294,-2.6321,-0.2102,Basic Materials,0,-80.89646403858177
ROCK,862087000.0,140045000.0,102492000.0,210462000.0,-70417000.0,-84782000.0,-81824000.0,-81824000.0,-2.63,-2.63,30904533.0,31066000.0,0.1624,-0.052000000000000005,-0.0816,-0.095,0.0177,-44929000.0,-70361000.0,-81824000.0,-0.0983,-0.0949,110610000.0,129575000.0,810471000.0,423242000.0,154625000.0,387229000.0,25432000.0,32542000.0,-17299000.0,-17022000.0,-322000.0,13571000.0,15243000.0,0.5829,-0.2113,1.0636864243138,1.0475,0.491,3.5605,27.7502,-2.6339,1.0475,0.491,3.5605,12.465,15.844,12.4647,0.5829,-0.1617,-0.3977,0.1189,-0.6802,492212000.0,457428000.0,-0.2113,-0.5568,-0.1142,-3.684956,-3.754263,Basic Materials,1,59.498437857534455
GOLD,10239000000.0,3409000000.0,385000000.0,4952000000.0,-97836600.0,-136172940.0,-142071800.0,-147297760.0,-2.5,-2.5,1164652426.0,1164652426.0,0.3329,-0.015,-0.1763,-0.284,-0.0133,-62411800.0,-91950040.0,-147987600.0,-0.254,-0.2839,2699000000.0,19193000000.0,33879000000.0,21017000000.0,-1424843000.0,10247000000.0,1648000000.0,2296000000.0,-2432000000.0,-1950000000.0,-60000000.0,275000000.0,-136000000.0,1.2228,-0.2837,0.30222261577969,1.9714,-1.261,2.3174,8.7915,-2.496,1.9714,-1.261,2.3174,8.798,25.025,8.7983,1.2228,-0.2326,-0.7898,0.0376,-1.4757,29145000000.0,37040000000.0,-0.2837,-2.0882,-0.3442,0.8012,0.8229,Basic Materials,0,-27.202351293285442
OR,14783993.1153,14783993.1153,7425989.672999999,15354561.1015,-570567.9862,1442735800.3442,1439903614.4578,1439903614.4578,7.464899999999997,7.316999999999998,174116363.20529607,176426626.2075185,1.0,0.8293299999999999,0.6368889999999999,0.5069699999999994,0.5156820000000001,1442784853.7005,1442772805.5077,1439903614.4578,0.52788,0.4938799999999999,150749569.7074,2185025.8176,232327882.9604,5799483.6489,161170395.8692,226528399.3115,12048.1928,106787435.4561,-2301204.8193,-95545611.0155,94664.3718,11846815.8348,104486230.6368,16.9065,0.7597259999999966,0.06363417480036099,2.8737039469026544,0.05111355752212334,8.324825938053094,44.965775111111114,0.4864820622222213,2.8929263274336283,0.056649557522123854,8.324825938053094,13.42383831858407,31.941986176991144,25.11843120353982,16.9065,0.16642799999999935,0.0742,0.5023,-8.70119,232327882.9604,77350258.1756,0.7600679999999989,-2.8347544247787617,0.11123204405286347,0.2429198237885463,0.14669314977973621,Basic Materials,1,10.356297976377004
OMN,987400000.0,199400000.0,120200000.0,156400000.0,43000000.0,11100000.0,11500000.0,11500000.0,0.25,0.25,47422442.0,46300000.0,0.2019,0.08,0.0446,0.012,-0.015,78800000.0,44000000.0,11500000.0,0.0112,0.0116,99500000.0,238400000.0,829200000.0,678700000.0,-56100000.0,150500000.0,34800000.0,15000000.0,-29800000.0,-25000000.0,-52500000.0,-65400000.0,-14800000.0,0.316,0.0764,1.1907863000482,0.324,-0.32,2.149,21.3261,0.2484,0.324,-0.32,2.149,3.2510000000000003,14.630999999999998,3.2505,0.316,0.038,1.3043,0.1217,-0.8563,677400000.0,866100000.0,0.0764,-0.6436,-0.0625,-0.2348,-0.2662,Basic Materials,0,-25.334956322065
KRA,1230433000.0,237067000.0,104209000.0,206552000.0,30515000.0,7537000.0,2419000.0,2419000.0,0.07,0.07,32829732.0,32163000.0,0.1927,0.08,0.0261,0.002,-0.0687,98373000.0,32131000.0,1210000.0,0.0061,0.002,53818000.0,451765000.0,1076877000.0,608726000.0,168041000.0,430483000.0,66242000.0,29858000.0,-114385000.0,-114385000.0,-24427000.0,-122054000.0,-84527000.0,0.5547,0.0056,1.142593815264,0.9283,-2.628,1.6733,38.2562,0.0752,0.9283,-2.628,1.6733,13.384,31.939,13.3844,0.5547,0.0034,9.1763,0.0847,-1.7268,1027267000.0,1183439000.0,0.0056,-3.5564,0.0497,0.2375,0.2168,Basic Materials,0,-19.486178933347357
URG,29349000.0,11491000.0,6541000.0,18470000.0,-6979000.0,-8749000.0,-8749000.0,-8749000.0,-0.07,-0.07,129284166.0,128781215.0,0.3915,0.054000000000000006,-0.2061,-0.298,0.0489,1593000.0,-6050000.0,-8749000.0,-0.2981,-0.2981,10660000.0,85743000.0,103545000.0,71444000.0,-157779000.0,32101000.0,7643000.0,1937000.0,-501000.0,-3008000.0,2577000.0,1477000.0,1436000.0,3.8324,-0.2725,0.28344198174707,0.015,0.0112,0.0828,0.2279,-0.0679,0.015,0.0112,0.0828,0.249,0.92302,0.2493,3.8324,-0.0805,-0.2214,0.2229,-0.0656,103545000.0,120745000.0,-0.2725,-0.0039,1.5423,0.7504,0.7015,Basic Materials,0,-23.529416714572438
LXU,495888000.0,65465000.0,38991000.0,33844000.0,31621000.0,23885000.0,19634000.0,19334000.0,0.86,0.85,22611816.0,22611816.0,0.132,0.158,0.0917,0.039,-0.3063,78418000.0,45484000.0,19634000.0,0.0482,0.0396,187176000.0,619205000.0,1130572000.0,696524000.0,286188000.0,434048000.0,32934000.0,65037000.0,-216916000.0,-11857000.0,-11490000.0,41690000.0,-151879000.0,1.4336,0.0452,0.43861691250093,2.8762,-6.7170000000000005,8.2778,21.9305,0.8683,2.8762,-6.7170000000000005,8.2778,19.196,49.048,19.1956,1.4336,0.0274,3.3639,0.0786,-6.5864,1109056000.0,1229463000.0,0.0452,-9.593,-0.526,-0.5642,-0.7090000000000001,Basic Materials,0,-76.88137800097216
AMWD,726515000.0,124177000.0,90417000.0,90089000.0,34088000.0,33670000.0,20461000.0,20461000.0,1.34,1.31,15540389.0,15540389.0,0.1709,0.067,0.0473,0.028,0.0402,48943000.0,34398000.0,20461000.0,0.0463,0.0282,135700000.0,79620000.0,330064000.0,139519000.0,89154000.0,190545000.0,14545000.0,40535000.0,-11321000.0,-9583000.0,7777000.0,38729000.0,29214000.0,0.6419,0.1074,2.2011337195211,2.6084,0.748,8.7321,46.7501,1.3166,2.6084,0.748,8.7321,12.261,21.239,12.2613,0.6419,0.0447,1.9811,0.1245,-0.7783,330064000.0,139544000.0,0.1074,-0.7285,0.2096,0.9788,0.9794,Basic Materials,1,100.05003569957474
BXC,2151972000.0,228483000.0,245887000.0,249784000.0,-21301000.0,-49631000.0,-40618000.0,-40618000.0,-5.1,-5.1,8662836.0,8016300.0,0.1062,-0.006,-0.01,-0.019,-0.0208,-12490000.0,-21607000.0,-40618000.0,-0.0231,-0.0189,5034000.0,111119000.0,528489000.0,534387000.0,-241621000.0,-5898000.0,9117000.0,-39881000.0,-4912000.0,5453000.0,34274000.0,-154000.0,-44793000.0,0.0733,0.7597259999999966,2.6762641560515705,-4.975,-5.587999999999999,0.628,268.4495,-5.0669,-4.975,-5.587999999999999,0.628,-0.736,65.92699999999999,-0.7358,0.0733,-0.2802,0.9819,0.1143,-0.5388,528489000.0,832385000.0,0.7600679999999989,-0.6128,-0.0069,-3.684956,-3.754263,Basic Materials,0,-53.50876870101021
RFP,4258000000.0,1018000000.0,155000000.0,1275000000.0,-97836600.0,-136172940.0,-142071800.0,-147297760.0,-2.93,-2.93,94590591.0,94600000.0,0.2391,-0.004,-0.0611,-0.065,0.0007,-17000000.0,-91950040.0,-147987600.0,-0.0721,-0.0651,337000000.0,1985000000.0,4914000000.0,2797000000.0,-869000000.0,2106000000.0,243000000.0,186000000.0,-183000000.0,-161000000.0,-7000000.0,15000000.0,3000000.0,0.3912,-0.1315,0.86650386650387,1.9662,0.0317,3.5624,45.0106,-2.9281,1.9662,0.0317,3.5624,22.262,51.29,22.2622,0.3912,-0.1664,-0.6715,0.0364,-0.7531,4852000000.0,4586000000.0,-0.1315,-1.9345,0.003,-3.0625,-3.0156,Basic Materials,0,-56.76756040858997
CSTE,447402000.0,189651000.0,91981000.0,94609000.0,95042000.0,92177000.0,78439000.0,78439000.0,2.25,2.22,34739315.0,34932000.0,0.4239,0.247,0.2084,0.175,-0.0231,110398000.0,93222000.0,80259000.0,0.206,0.1753,42280000.0,172993000.0,439000000.0,117989000.0,181212000.0,321011000.0,17176000.0,76024000.0,-86373000.0,-27726000.0,-26671000.0,20032000.0,-10349000.0,4.6448,0.2443,1.019138952164,2.1763,-0.29600000000000004,1.2104,12.8078,2.2455,2.1763,-0.29600000000000004,1.2104,9.19,11.193,9.1896,4.6448,0.0376,0.9692,0.2056,-5.0287,390981000.0,272490000.0,0.2443,-2.4726,0.1698,0.2431,0.2505,Basic Materials,0,-27.41583947627539
