,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,ROE,Gross Profit Growth,Operating Income Growth,Operating Cash Flow growth,Sector,Class,2016 PRICE VAR [%]
MLNT,0.0,0.0,14159000.0,76947000.0,-76947000.0,-78676000.0,-78676000.0,-94924000.0,-20.924000000000003,-20.888,1760000.0,855163.7999999999,0.0,0.0,0.0,-74892000.0,-75516000.0,-78676000.0,0.0,0.0,153765000.0,155078000.0,161976000.0,90000.0,162139000.0,17891000.0,44474000.0,-319022000.0,117665000.0,3759000.0,624000.0,-72554000.0,-688000.0,-688000.0,92859000.0,19617000.0,-73242000.0,9.0733,-0.6686,0.0,9.054,9.094908054329,8.594544743166999,9.0733,-1.3646630000000002,0.7643,-1.1026,8934959.84,117502000.0,10113000.0,-0.6686,-0.7531,-0.2954,-0.4779,Healthcare,0,-90.32480995162405
VSTM,0.0,0.0,17634000.0,58199000.0,-58199000.0,-57865000.0,-57865000.0,-57865000.0,-1.61,-1.61,36934804.0,35932000.0,0.0,0.0,0.0,-57111000.0,-57865000.0,-57865000.0,0.0,0.0,25073000.0,110461000.0,110843000.0,2048000.0,113094000.0,10109000.0,10625000.0,-198883000.0,102469000.0,6167000.0,754000.0,-45559000.0,-211000.0,-27057000.0,63585000.0,-9031000.0,-45770000.0,0.0,-0.5647,0.0,10.965,10.926995746364998,2.4802651102977995,0.0,-0.8656,0.7873,-0.2798,113094000.0,100218000.0,77912000.0,-0.5647,0.0,-0.0857,-0.2346,Healthcare,0,-37.07865040616213
STAA,74987000.0,48823000.0,44487000.0,56850000.0,-8027000.0,-8645000.0,-8392000.0,-8392000.0,-0.22,-0.22,38653734.0,38091000.0,0.6511,-0.1132,-0.1601,-6031000.0,-8491000.0,-8392000.0,-0.1153,-0.1119,13013000.0,13013000.0,44897000.0,10066000.0,58911000.0,16371000.0,21812000.0,-140447000.0,37099000.0,5202000.0,2460000.0,-7951000.0,-4054000.0,-4054000.0,2532000.0,-9941000.0,-12005000.0,4.6547,-0.2262,1.2728862181935,2.742,1.4700995663063,0.7948811923523299,4.6547,-0.0244,0.9474,-1.648,56255000.0,23085000.0,31888000.0,-0.2262,-0.0295,-4.8502,-3.2182830000000004,Healthcare,1,52.387648256510545
ADMA,7177633.0,2866172.0,6745968.0,18379979.0,-15513807.0,-17969930.0,-17969930.0,-17969930.0,-1.73,-1.73,10713087.0,10412305.0,0.3993,-2.2469,-2.1518,-15657393.0,-16127214.0,-17969930.0,-2.5036,-2.5036,10468122.0,16836299.0,21290404.0,2433206.0,23714517.0,4216532.0,22893543.0,-87419667.0,820974.0,2113538.0,469821.0,-15418404.0,-26073.0,-1741575.0,10401908.0,-6758071.0,-15444477.0,12.045,-1.607726,0.30266831915657,5.049,4.212174127932601,2.482637864482,12.045,-0.2144,0.858,-0.0555,23714517.0,-1603139.0,24724214.0,-1.60826,0.3189,0.0315,-0.0485,Healthcare,0,-35.02538310657952
INNT,8266000.0,426000.0,6553000.0,6886000.0,-6460000.0,-8739000.0,-8741000.0,-8741000.0,-20.924000000000003,-20.888,1412343.8999999997,855163.7999999999,0.0515,-0.8902,-0.2093,-7358000.0,-7358000.0,-8741000.0,-1.0572,-1.0575,479079.99999999994,600313.2000000001,5005400.0,0.0,12509180.0,10412000.0,10412000.0,-25875000.0,-5694000.0,5161000.0,0.0,-1730000.0,0.0,0.0,1752000.0,22000.0,-1730000.0,3.1217,0.9968170000000012,1.7520135650698998,0.14800000000000002,0.073280829811756,0.013248608870820699,3.1217,-0.6498,0.1979,0.0,8934959.84,-8875000.0,-1806811.94,0.9972699999999972,0.8205,0.0324,0.7678,Healthcare,0,-44.794954010034935
ENTA,160880000.0,160880000.0,13543000.0,36732000.0,124148000.0,125455000.0,78992000.0,78992000.0,4.23,4.09,18713976.0,18673000.0,1.0,0.6085962485875699,0.4621,126102000.0,125463000.0,78992000.0,0.57771,0.4685579999999999,22334000.0,145813000.0,170641000.0,5886000.0,246013000.0,6704000.0,9856000.0,5980000.0,236157000.0,5161000.0,639000.0,76673000.0,-2336000.0,-88186000.0,2540000.0,-8973000.0,74337000.0,4.2039,0.3345,0.65394918154732,16.244812767038255,14.917640943415817,3.3314439140811003,4.2039,0.117,0.9706,-3.6557,246013000.0,160785000.0,216975000.0,0.3345,1.7961,3.5334,2.7996,Healthcare,0,-2.018130021713316
HBIO,108664000.0,48723000.0,40409000.0,50436000.0,-1713000.0,-3608000.0,-19039000.0,-19039000.0,-0.57,-0.57,33944207.0,33593000.0,0.4484,-0.0254,-0.0207,1802000.0,-2762000.0,-19039000.0,-0.0332,-0.1752,6744000.0,6744000.0,50549000.0,5902000.0,120050000.0,19323000.0,42452000.0,-111723000.0,77598000.0,8177000.0,4564000.0,705000.0,-2954000.0,-7517000.0,-540000.0,-7390000.0,-2249000.0,1.084,-0.2454,0.90515618492295,2.616,1.257102934327,0.34901412824096,1.084,-0.1643,-0.037000000000000005,-0.6472,57598000.0,8097000.0,50264000.0,-0.2454,-0.0126,-1.2588,-0.838,Healthcare,0,-5.572757451835388
NSTG,62667000.0,36541000.0,53186000.0,77783000.0,-41242000.0,-45415000.0,-45581000.0,-45581000.0,-2.4,-2.4,19506957.0,19027000.0,0.5831,-0.6606,-0.7524,-39021000.0,-41398000.0,-45581000.0,-0.7247,-0.7274,21999000.0,49187000.0,82793000.0,9414000.0,92869000.0,20911000.0,72654000.0,-222451000.0,20215000.0,17442000.0,2377000.0,-43362000.0,-3790000.0,23769000.0,24268000.0,4675000.0,-47152000.0,4.5789,-1.607726,0.67478921922278,3.959,3.295490411745,1.0520300320406,4.5789,-0.1632,0.9513,-1.5944,92869000.0,10139000.0,91185000.0,-1.60826,0.3818,0.1039,-0.1393,Healthcare,1,63.13093718069874
CDMO,26781000.0,11188000.0,18691000.0,61687000.0,-50499000.0,-50358000.0,-50358000.0,-54054000.0,-2.07,-2.07,26904696.0,26079762.0,0.4178,-1.8803,-1.6828,-49316000.0,-50357000.0,-50358000.0,-1.8804,-1.8804,68001000.0,68001000.0,80523000.0,15124000.0,97464000.0,37331000.0,38429000.0,-453624000.0,59035000.0,26946000.0,1041000.0,-36019000.0,-9047000.0,-8449000.0,34979000.0,-9489000.0,-45066000.0,9.2124,-0.853,0.27477837970943,2.157,1.9237095175591,1.8215692052182,9.2124,-0.2257,0.6664,-7.103100000000001,97464000.0,42094000.0,-1806811.94,-0.853,0.2042,-0.4143,-0.2748,Healthcare,0,-73.27586039113582
CGIX,18040000.0,3942000.0,19836000.0,25319000.0,-21377000.0,-21368000.0,-20184000.0,-20184000.0,-20.924000000000003,-20.888,1412343.8999999997,855163.7999999999,0.2185,-1.1654,-0.8097,-19362000.0,-21024000.0,-20184000.0,-1.1845,-1.1188,19759000.0,19759000.0,28198000.0,6069000.0,48884000.0,9865000.0,15867000.0,-98151000.0,33017000.0,831000.0,1662000.0,-13599000.0,-1008000.0,-2640000.0,10144000.0,-6095000.0,-14607000.0,1.9485,-0.6113,0.36903690369037,2.858,2.6741003547897004,2.0029396857577,1.9485,-0.5939,0.6738,-0.6065,35128000.0,12331000.0,11877000.0,-0.6113,1.2577,-0.1129,-0.1022,Healthcare,0,-58.333332025138084
CRVS,0.0,0.0,2418000.0,13770000.0,-13770000.0,-31335000.0,-31335000.0,-31335000.0,-20.924000000000003,-20.888,20406356.0,855163.7999999999,0.0,0.0,0.0,-31187000.0,-31335000.0,-31335000.0,0.0,0.0,4105000.0,94386000.0,95663000.0,1845000.0,98459000.0,3070000.0,3780000.0,-31496000.0,-31101000.0,1495000.0,148000.0,-11328000.0,-1747000.0,-92032000.0,94948000.0,-8412000.0,-13075000.0,0.0,0.9968170000000012,0.0,16.244812767038255,14.917640943415817,1.3371335504886002,0.0,-1.3646630000000002,0.3615,-7.103100000000001,98459000.0,91883000.0,91284000.0,0.9972699999999972,0.0,-4.8502,-3.2182830000000004,Healthcare,1,0.35087853147272474
SNDX,627000.0,627000.0,11591000.0,21140000.0,-20513000.0,-103845000.0,-103845000.0,-103845000.0,-20.924000000000003,-20.888,17373000.0,855163.7999999999,1.0,-8.029208,-3.9506,-102410000.0,-102431000.0,-24119000.0,-8.169624,-8.094699,23233000.0,86543000.0,88007000.0,88000.0,89903000.0,4847000.0,23205000.0,-259675000.0,-54196236.080000006,3395000.0,21000.0,-2428000.0,-49000.0,-61669000.0,77267000.0,13170000.0,-2477000.0,71.69306799999998,0.4114,0.0069741832864309,16.244812767038255,14.917640943415817,4.7932741902208,71.69306799999998,-1.3646630000000002,0.0234,-2.3333,89903000.0,64802000.0,61823000.0,0.4114,0.0,0.0384,0.8313,Healthcare,0,-40.24999936421712
INGN,159005000.0,76258000.0,57027000.0,61207000.0,15051000.0,14727000.0,11585000.0,11585000.0,0.6,0.56,19652273.0,19398991.0,0.4796,0.0928,0.1615,28761000.0,14749000.0,11585000.0,0.0926,0.0729,66106000.0,82899000.0,114844000.0,30680000.0,161314000.0,22013000.0,27296000.0,-45108000.0,134018000.0,8831000.0,14012000.0,38161000.0,-12489000.0,-29305000.0,381000.0,9270000.0,25672000.0,4.9549,0.0864,0.98568630125098,5.2170000000000005,4.6686503429791,3.0030436560214,4.9549,0.015,3.294,-0.8913,161085000.0,87548000.0,73281000.0,0.0864,0.3736,0.4319,1.4311,Healthcare,1,69.74980714425224
PEN,186095000.0,124058000.0,101852000.0,119879000.0,4179000.0,4024000.0,2365000.0,2365000.0,0.09,0.08,29889955.0,11993429.0,0.6666,0.0216,-0.1406,5776000.0,4024000.0,2365000.0,0.0216,0.0127,19547000.0,148804000.0,244361000.0,8951000.0,263848000.0,28148000.0,31326000.0,-17475000.0,232522000.0,25581000.0,1752000.0,-20689000.0,-5474000.0,-85816000.0,122834000.0,16257000.0,-26163000.0,8.6428,0.0102,0.70531139140717,8.681000000000001,6.3325280659372005,0.6944365496660501,8.6428,0.0017,-6.936654,-3.1244,263848000.0,213035000.0,216153000.0,0.0102,0.4975,0.3888,-2.2382,Healthcare,1,14.521630381506707
ANIP,76322000.0,63630000.0,21156000.0,30889000.0,32741000.0,21733000.0,15375000.0,15375000.0,1.34,1.32,11500068.0,11557000.0,0.8337,0.429,-0.202,39641000.0,32741000.0,15375000.0,0.2848,0.2014,154684000.0,154684000.0,192583000.0,7131000.0,285265000.0,11756000.0,125183000.0,-4350000.0,160082000.0,9690000.0,6900000.0,17264000.0,-32683000.0,-32683000.0,1066000.0,-14353000.0,-15419000.0,6.8001,0.096,0.26754771878779,16.244812767038255,14.917640943415817,9.051665911397375,6.8001,0.0297,1.1229,-4.7367,217030000.0,67400000.0,164017000.0,0.096,0.43,0.6236,-0.2164,Healthcare,1,37.553890065046346
GNCA,670000.0,670000.0,13987000.0,42036000.0,-41366000.0,-42483000.0,-42483000.0,-42483000.0,-13.92,-13.92,3514380.0,3057500.0,1.0,-8.029208,-6.654591,-40152000.0,-41203000.0,-42483000.0,-8.169624,-8.094699,17575000.0,94644000.0,95193000.0,4083000.0,112142000.0,5967000.0,22481000.0,-157910000.0,89661000.0,4210000.0,1051000.0,-38360000.0,-2784000.0,-64937000.0,100498000.0,-2799000.0,-41144000.0,71.69306799999998,-0.4738,0.0059745679584812,15.953,14.917640943415817,2.9453661806602995,71.69306799999998,-0.3302,0.9029,-2.6489,112142000.0,72712000.0,105077000.0,-0.4738,1.1753,-0.2472,-0.3897,Healthcare,0,-19.373781254178734
PRSC,1478010000.0,96856000.0,70986000.0,94984000.0,1872000.0,98279000.0,83696000.0,67999000.0,4.26,4.26,15373551.0,15960905.0,0.0655,0.0677,-0.0128,158433000.0,100132000.0,83194000.0,0.0665,0.0566,83768000.0,83768000.0,319724000.0,46158000.0,1050202000.0,295272000.0,682494000.0,69209000.0,290584000.0,235878000.0,58301000.0,16097000.0,-35072000.0,142097481.41721565,-234112000.0,-75636000.0,-18975000.0,0.488,0.28800000000000003,1.4073578225903,1.083,0.8703771437860699,0.28369774309789003,0.488,0.0908,0.2367,-0.6016,850680000.0,-362770000.0,771711000.0,0.28800000000000003,-0.0712,-0.9565,-0.7084,Healthcare,0,-17.97801306815472
FATE,2431000.0,2431000.0,10352000.0,30213000.0,-27782000.0,-29992000.0,-29992000.0,-29992000.0,-1.18,-1.18,28716570.0,25484262.0,1.0,-8.029208,-6.654591,-27085000.0,-27772000.0,-29992000.0,-8.169624,-8.094699,64931000.0,64931000.0,65652000.0,2160000.0,67958000.0,13441000.0,29920000.0,-142384000.0,38038000.0,4895000.0,687000.0,-18397000.0,-1498000.0,-1498000.0,35603000.0,15708000.0,-19895000.0,39.8087,-0.7885,0.035772094528974,4.884,4.8308161595119,4.8308161595119,39.8087,-0.3501,0.6134,-2.1805,67958000.0,35732000.0,7824000.0,-0.7885,0.0,-0.1156,0.1794,Healthcare,0,-23.708206092210744
TTOO,2813000.0,1073000.0,19094000.0,44456000.0,-43383000.0,-45290000.0,-45290000.0,-45290000.0,-2.21,-2.21,20384532.0,20501748.0,0.3814,-8.029208,-6.654591,-41858000.0,-43323000.0,-45290000.0,-8.169624,-8.094699,73922000.0,73922000.0,75552000.0,10655000.0,86825000.0,12253000.0,39886000.0,-148885000.0,46939000.0,6576000.0,1465000.0,-37465000.0,-7974000.0,-7894000.0,45172000.0,-187000.0,-45439000.0,71.69306799999998,-0.9649,0.032398502735387004,6.166,6.063086591038902,6.0329715171795,71.69306799999998,-0.202,0.8272,-5.443,86825000.0,35666000.0,31220000.0,-0.9649,1.7961,-0.414,-0.3293,Healthcare,0,-52.0072973487767
AMPH,251519000.0,77347000.0,46974000.0,84245000.0,-6898000.0,-10364000.0,-2787000.0,-2787000.0,-0.06,-0.06,45019525.0,44961000.0,0.3075,-0.0373,-0.0211,1937000.0,-9377000.0,-2787000.0,-0.0412,-0.0111,66074000.0,67359000.0,175934000.0,142161000.0,390136000.0,59955000.0,94626000.0,60323000.0,295510000.0,35149000.0,11314000.0,10681000.0,-15996000.0,-16925000.0,2237000.0,-1754000.0,-5315000.0,2.547,-0.0094,0.64469569585991,2.934,1.6777916770912,1.102059878242,2.547,-0.0042,-3.8324,-1.4138,350235000.0,81308000.0,265305000.0,-0.0094,0.509,0.6164,-0.4926,Healthcare,1,34.452557173298146
CNMD,719168000.0,381702000.0,303091000.0,330527000.0,51175000.0,45144000.0,30498000.0,30498000.0,1.1,1.09,27704856.0,27704856.0,0.5308,0.0712,0.0499,69879000.0,51175000.0,30498000.0,0.0628,0.0424,72504000.0,72504000.0,359804000.0,125452000.0,1101700000.0,119718000.0,516627000.0,414506000.0,585073000.0,83659000.0,18704000.0,50917000.0,-15009000.0,-24362000.0,-12622000.0,6172000.0,35908000.0,1.6969999999999998,0.0521,0.6527802487065401,3.005,1.7237758733023,0.6056232145542,1.6969999999999998,0.025,1.6695,-0.8024,532878000.0,-156823000.0,611466000.0,0.0521,-0.0553,-0.0305,-0.2188,Healthcare,1,5.98735691494443
CYTK,28658000.0,28658000.0,19667000.0,66065000.0,-37407000.0,-37501000.0,-37501000.0,-37501000.0,-0.97,-0.97,38847270.0,38814000.0,1.0,-1.2992,0.1508,-36644000.0,-37233000.0,-37501000.0,-1.3086,-1.3086,65076000.0,111442000.0,113107000.0,1751000.0,115237000.0,31649000.0,46647000.0,-534744000.0,68590000.0,29411000.0,589000.0,4883000.0,-561000.0,16063000.0,23915000.0,44861000.0,4322000.0,14.179,-0.5467,0.24868748752571,3.574,3.5215646623906,2.0561787102278,14.179,-0.0927,-0.1302,-0.9525,115237000.0,66460000.0,33151000.0,-0.5467,-0.3895,-1.5354,1.1089,Healthcare,1,21.499996185302734
FONR,69050996.0,32160580.0,17448305.0,19260703.0,12899877.0,10298130.0,12910651.0,12071670.0,2.0,1.95,6746791.0,6050632.0,0.4658,0.1593,0.1903,14544695.0,11000225.0,15430383.0,0.1491,0.187,9448798.0,9448798.0,43620813.0,12901195.0,76492077.0,18792652.0,25708564.0,-136348635.0,38392742.0,14283144.0,3544470.0,13272917.0,-131308.0,-270842.0,-13505013.0,-502938.0,13141609.0,1.0337,0.3363,0.90272089225659,2.321,2.1587652450543,0.5027921551466,1.0337,0.16460299999999994,1.0995,-0.037000000000000005,65774819.0,17912249.0,45722817.0,0.3363,-0.0149,0.0485,-0.0088,Healthcare,1,14.123950148410584
CRY,145898000.0,90719000.0,74929000.0,85365000.0,5354000.0,5868000.0,4005000.0,4005000.0,0.14,0.14,28454868.0,27744000.0,0.6218,0.0398,0.0545,11669000.0,5806000.0,4005000.0,0.0402,0.0275,42588000.0,43418000.0,109663000.0,11484000.0,181179000.0,19605000.0,25928000.0,23365000.0,155251000.0,15015000.0,5863000.0,11442000.0,-3490000.0,-4486000.0,-2810000.0,4213000.0,7952000.0,2.1025,0.0258,0.80526992642635,5.5939999999999985,3.5751083907167,2.1723029839327,2.1025,0.013,2.8569,-0.5953,149917000.0,83735000.0,87724000.0,0.0258,-0.0063,-0.3942,0.4095,Healthcare,1,85.741986800445
AGIO,59119000.0,59119000.0,35992000.0,177819000.0,-118700000.0,-117732000.0,-117732000.0,-117732000.0,-3.15,-3.15,37640637.0,37429262.0,1.0,-1.9914,-1.6427,-114390000.0,-117732000.0,-117732000.0,-1.9914,-1.9914,71764000.0,317002000.0,337329000.0,23220000.0,420065000.0,52888000.0,74947000.0,-284680000.0,345118000.0,38140000.0,3342000.0,-76949000.0,-20164000.0,128309000.0,6373000.0,57733000.0,-97113000.0,41.3341,-0.3411,0.14073774296835,6.377999999999999,6.2131485403116,1.3569051580699,41.3341,-0.0485,0.6536,-6.0335,420065000.0,262382000.0,295413000.0,-0.3411,-0.0955,-1.1927,-0.2965,Healthcare,0,-34.428032774267976
CO,102571382.4289,81477874.677,41926356.5891,43526324.2894,37951550.3876,24970768.7339,17327519.3798,17327519.3798,0.2196,0.2196,11789930.2326,11789930.2326,0.7944,0.4026,0.570911,49471899.2248,41298611.1111,17408430.2326,0.2434,0.1689,393516634.3669,394761466.4082,422917635.6589,97410691.2145,664031653.7468,67858042.6357,414804748.062,107011466.4083,248345930.2326,52761950.9045,8173288.1137,96070090.4393,-6102067.1835,-6852551.6796,0.0,92339631.7829,89968023.2558,0.5874,0.0698,0.15446760986489005,1.0065,6.5671443225074,5.7991156107982,0.5874,0.043,5.5444,-0.7466,645309431.5245,8112887.5969,324123546.5116,0.0698,0.0831,0.0054,0.1118,Healthcare,0,-2.0800024412918354
EARS,0.0,0.0,4345915.9159,30908654.6547,-30908654.6547,-29734797.7978,-29734797.7978,-29734797.7978,-20.924000000000003,-20.888,1412343.8999999997,855163.7999999999,0.0,0.0,0.0,-29633934.9349,-29726804.8048,-29734797.7978,0.0,0.0,50287587.5876,50287587.5876,51120180.1802,222792.7928,52865081.0811,6173007.007,8078382.3824,-81660393.3934,44786698.6987,4966278.2783,92869.8699,-28755902.9029,-80000.0,-43401.4014,20939906.9069,-7859397.3974,-28835902.9029,0.0,-0.6639,0.0,8.2893,8.2580594840235,8.1463681364002,0.0,-0.1883,0.9671,-0.8614,51381077.0771,43041797.7978,-1806811.94,-0.6639,0.0,-0.3829,-0.4783,Healthcare,0,-78.93700787401575
HSKA,104597000.0,44213000.0,33998000.0,35656000.0,8557000.0,8147000.0,5239000.0,5239000.0,0.8,0.74,6589096.0,6509000.0,0.4227,0.0791,-0.0158,12464000.0,8277000.0,5519000.0,0.0779,0.0501,6890000.0,6890000.0,41262000.0,17020000.0,109719000.0,18803000.0,30444000.0,-163992000.0,47781000.0,10877000.0,4187000.0,2125000.0,-3773000.0,-3773000.0,2726000.0,1035000.0,-1648000.0,2.4366,0.1096,0.95331711007209,2.194,1.2302824017444,0.36643088868798,2.4366,0.0207,0.4056,-0.9011,88753000.0,10818000.0,63431000.0,0.1096,0.2379,1.9395,-0.6174,Healthcare,1,93.72294439314831
USPH,331302000.0,78361000.0,31067000.0,31067000.0,47294000.0,34262000.0,20615000.0,20615000.0,1.66,1.66,12421137.0,12392000.0,0.2365,0.1065,0.0946,43245000.0,35293000.0,26489000.0,0.1034,0.0622,15778000.0,15778000.0,60200000.0,16654000.0,303757000.0,19007000.0,131447000.0,138301000.0,171057000.0,16596000.0,7952000.0,37520000.0,-6192000.0,-26125000.0,-9888000.0,1507000.0,31328000.0,2.0126,0.1205,1.0906810378032,3.167,2.8619455989897995,0.8301152207081601,2.0126,0.0309,1.82,-0.7787,78088000.0,-71247000.0,92413000.0,0.1205,0.0288,0.0333,-0.0935,Healthcare,1,36.358981021252816
CARA,3803000.0,3803000.0,7770000.0,28991000.0,-25188000.0,-25087000.0,-24690000.0,-24690000.0,-1.0,-1.0,27231583.0,24620372.0,1.0,-6.5966,-5.6529,-24248000.0,-25087000.0,-24690000.0,-6.5966,-6.4922,15801000.0,107441000.0,108934000.0,1263000.0,110897000.0,5268000.0,5853000.0,-104891000.0,105044000.0,0.0,839000.0,-21478000.0,-20000.0,-91677000.0,75593000.0,-37562000.0,-21498000.0,71.69306799999998,-0.235,0.034293082770499,16.244812767038255,14.917640943415817,2.999430523918,71.69306799999998,-0.0593,0.8699,-0.0238,110897000.0,103081000.0,89828000.0,-0.235,0.197,-0.3938,-0.2174,Healthcare,0,-44.33792891201021
CMRX,10762000.0,10762000.0,31296000.0,129013000.0,-118251000.0,-117372000.0,-117372000.0,-117372000.0,-2.67,-2.67,46146101.0,43878326.0,1.0,-8.029208,-6.654591,-116715000.0,-117372000.0,-117372000.0,-8.169624,-8.094699,20605000.0,220334000.0,228837000.0,3045000.0,355992000.0,20179000.0,20533000.0,-339414000.0,335459000.0,9721000.0,657000.0,-80508630.0,-2393000.0,-169496000.0,161347000.0,-107857000.0,-102101000.0,38.3765,-0.3499,0.030231016427335,11.34,11.039496506269,1.0211110560484,38.3765,-0.2983,0.8495,-3.6423,355992000.0,208304000.0,315562000.0,-0.3499,1.6639,-1.0088,-1.118,Healthcare,0,-46.69756843994466
TARO,862944000.0,676585000.0,87644000.0,146216000.0,530369000.0,580316000.0,484257000.0,484257000.0,7.240799999999999,7.073399999999998,42832273.0,42834000.0,0.784,0.6085962485875699,0.4485,544803000.0,529005000.0,484834000.0,0.57771,0.4685579999999999,481641000.0,920197000.0,1513807000.0,153045000.0,1737745000.0,310005000.0,320362000.0,1453889000.0,1411720000.0,289613000.0,15798000.0,406788000.0,-19780000.0,-92081000.0,-10918000.0,271674000.0,387008000.0,7.0,0.343,0.49658839472995,4.883,4.4952016902953,1.5536555862002,7.0,0.0802,0.84,-1.2521,1737745000.0,702011931.1315995,951987000.0,0.343,0.1665,0.2288,0.1374,Healthcare,0,-30.31708185917728
NEO,99802000.0,43756000.0,45193000.0,49391000.0,-5635000.0,-4489000.0,-2535000.0,-2657000.0,-0.04,-0.04,60350750.0,60526000.0,0.4384,-0.0364,0.0419,3507000.0,-3635000.0,-2535000.0,-0.045,-0.0254,23420000.0,23420000.0,82360000.0,34577000.0,351287000.0,40058000.0,113175000.0,-22063000.0,209510000.0,13591000.0,7142000.0,6393000.0,-2215000.0,-75155000.0,58493000.0,-10269000.0,4178000.0,4.759,-0.0121,0.28410388087234,2.056,1.806455639323,0.5846522542313599,4.759,-0.0051,-2.4061,-0.3101,117066000.0,-30815000.0,124967000.0,-0.0121,0.0747,-3.5406,-0.3235,Healthcare,1,13.35978518107418
MTEM,76915000.0,76915000.0,9716000.0,49987000.0,26928000.0,43822000.0,43822000.0,43822000.0,6.82,5.94,6496097.0,6385637.0,1.0,0.5697,-0.4955,44824000.0,43822000.0,43822000.0,0.5697,0.4685579999999999,9589000.0,48680000.0,53170000.0,333000.0,53669000.0,10828000.0,12823000.0,-329440000.0,40846000.0,10103000.0,1002000.0,-38003000.0,-109000.0,10318000.0,28883000.0,1198000.0,-38112000.0,0.4459,0.9968170000000012,1.4331364474836,4.91,4.6703915773919,0.88557443664573,0.4459,0.16460299999999994,-0.8672,-0.1088,53669000.0,40347000.0,33252000.0,0.9972699999999972,1.7961,1.8617,-0.3702,Healthcare,0,-2.222215372036072
RTTR,0.0,0.0,6404643.0,8908403.0,-8908403.0,-8787771.0,-8787771.0,-9178623.0,-20.924000000000003,-20.888,1412343.8999999997,855163.7999999999,0.0,0.0,0.0,-8785832.0,-8787771.0,-8787771.0,0.0,0.0,15819566.0,15819566.0,16008702.0,20688.0,16039716.0,1493330.47,2492575.22,-27082942.0,14684995.0,615364.0,1939.0,-5721565.0,-16999.0,-16999.0,18810882.0,13072318.0,-5738564.0,0.0,-0.5984,0.0,11.817,11.677360873567,9.051665911397375,0.0,-1.3646630000000002,0.6234,-7.103100000000001,16039716.0,14653981.0,-1134571.0,-0.5984,0.0,-2.9044,-3.2182830000000004,Healthcare,1,66.25767883383529
ASMB,0.0,0.0,11297693.0,29655630.0,-29655630.0,-28453833.0,-28453833.0,-28453833.0,-1.81,-1.81,17225662.0,15702646.0,0.0,0.0,0.0,-28388844.0,-28453833.0,-28453833.0,0.0,0.0,27107526.0,67664178.0,68368465.0,148609.0,133744497.0,3402902.0,15002902.0,-163965905.0,118741595.0,2039204.0,64989.0,-18697334.0,-58111.0,-64855510.0,81569257.0,-1983587.0,-18755445.0,0.0,-0.2396,0.0,16.244812767038255,14.917640943415817,7.9660025472376,0.0,-0.241,0.6571,-0.8942,92106361.0,53365563.0,61595933.0,-0.2396,0.0,-0.2379,-0.2487,Healthcare,1,68.98469432317741
CHE,1543388000.0,455778000.0,237821000.0,271320000.0,184458000.0,180126000.0,110274000.0,110274000.0,6.54,6.33,16879147.0,16870000.0,0.2953,0.1191,0.0825,217270000.0,183771000.0,110274000.0,0.1167,0.0714,14727000.0,14727000.0,150808000.0,117370000.0,852325000.0,171336000.0,339072000.0,865845000.0,513253000.0,120141000.0,33499000.0,171500000.0,-44135000.0,-50317000.0,-120588000.0,595000.0,127365000.0,1.6383,0.2149,1.8107975244185,0.88,0.70615048793015,0.085953915114162,1.6383,0.0437,1.5552,-1.3175,324892000.0,-188264000.0,230079000.0,0.2149,0.081,0.0952,0.5551,Healthcare,1,10.10757574260849
CRSP,247000.0,247000.0,13403000.0,25976000.0,-25729000.0,-25496000.0,-25503000.0,-25503000.0,-5.06,-5.06,39748000.0,5037404.0,1.0,-8.029208,0.570911,-25261000.0,-25388000.0,-25828000.0,-8.169624,-8.094699,156661000.0,156661000.0,156840000.0,1328000.0,159423000.0,10155000.0,124026000.0,-33906000.0,-29097000.0,8571000.0,127000.0,59428000.0,-1154000.0,-1154000.0,96733000.0,155016000.0,58274000.0,71.69306799999998,0.8765,0.0015493372976296,15.445,14.917640943415817,9.051665911397375,71.69306799999998,-0.6948,-2.3302,-7.103100000000001,158969000.0,32814000.0,30489000.0,0.8765,0.0,-2.8825,5.115931999999994,Healthcare,1,43.78992199769928
